AB,Pos,SF,RBI,Team,AVG,SO
18,SS,0,1,TOR,0.167,2
385,SS,4,35,LAA,0.278,51
404,3B,3,56,BAL,0.292,69
57,C,0,3,NYM,0.123,24
38,C,0,1,SEA,0.079,8
285,2B,1,23,OAK,0.246,39
282,SS,1,35,PIT,0.294,63
392,OF,1,71,DET,0.288,118
347,1B,1,36,SEA,0.222,61
72,2B,0,3,TB,0.139,24
12,OF,0,1,HOU,0.25,5
11,OF,0,0,BAL,0.182,2
11,1B,0,1,STL,0.182,1
323,SS,3,53,COL,0.3,72
242,OF,3,21,HOU,0.231,72
417,2B,2,47,DET,0.297,62
133,OF,1,22,CLE,0.271,34
399,SS,3,44,CHC,0.236,72
81,3B,1,6,LAD,0.247,9
405,OF,0,66,SEA,0.321,97
357,C,4,38,STL,0.286,48
21,OF,0,3,NYY,0.286,3
241,C,1,25,DET,0.282,53
373,3B,2,55,MIN,0.255,74
153,SS,2,21,CIN,0.301,40
128,C,1,13,ARI,0.211,23
392,3B,6,80,COL,0.278,61
10,2B,0,0,PIT,0.0,4
383,1B,4,44,MIN,0.269,70
33,C,0,4,ATL,0.273,5
108,3B,2,16,MIL,0.213,26
41,SS,0,5,TEX,0.195,16
77,OF,0,5,ATL,0.169,17
207,OF,3,31,STL,0.29,44
183,C,0,22,COL,0.273,44
339,OF,1,19,TB,0.242,69
323,3B,0,40,SD,0.266,39
210,OF,1,16,OAK,0.21,42
231,OF,0,28,HOU,0.264,49
273,SS,2,19,PIT,0.242,48
25,3B,0,2,NYM,0.2,6
123,OF,4,12,WAS,0.203,31
144,1B,0,17,NYY,0.215,37
40,2B,0,2,ATL,0.325,5
380,3B,4,43,NYY,0.276,84
9,2B,0,1,BOS,0.333,2
272,1B,3,36,DET,0.246,34
147,C,1,12,MIL,0.184,42
156,2B,0,6,PIT,0.212,43
305,3B,3,51,PIT,0.233,85
32,1B,0,5,SD,0.313,10
10,OF,1,1,TOR,0.0,0
72,C,0,13,CHC,0.333,22
346,3B,5,61,CHC,0.246,126
379,SS,6,38,CWS,0.237,46
61,OF,1,8,SEA,0.262,18
372,2B,2,42,PIT,0.272,79
387,2B,3,44,STL,0.271,65
10,SS,0,2,OAK,0.2,1
30,OF,1,7,CLE,0.333,9
141,OF,0,9,CIN,0.22,27
48,C,0,12,DET,0.271,10
176,OF,1,24,BAL,0.227,45
73,OF,0,7,LAA,0.288,7
133,C,2,16,CLE,0.226,49
6,2B,0,0,CHC,0.167,1
403,3B,4,67,CIN,0.268,78
126,SS,0,7,MIL,0.183,40
346,1B,3,47,CLE,0.228,77
370,OF,6,66,PIT,0.289,80
201,OF,1,23,MIL,0.229,62
54,OF,0,7,DET,0.259,13
52,OF,0,2,BOS,0.135,17
143,C,1,23,OAK,0.266,28
234,SS,3,31,MIN,0.239,56
165,OF,1,11,STL,0.224,45
193,3B,2,20,CLE,0.218,37
77,1B,0,5,LAA,0.26,14
319,1B,1,40,BOS,0.207,95
361,2B,6,37,LAA,0.263,49
17,3B,0,2,NYM,0.235,4
243,OF,1,38,STL,0.288,80
256,OF,0,25,SD,0.25,70
333,1B,2,36,CWS,0.219,113
19,1B,0,2,STL,0.158,4
38,OF,1,2,OAK,0.079,13
5,SS,0,1,TOR,0.0,1
303,2B,3,34,BOS,0.287,41
376,1B,1,61,LAD,0.293,64
21,C,0,0,MIL,0.048,7
35,1B,0,8,PIT,0.229,11
89,3B,0,7,MIL,0.236,17
416,3B,5,77,TOR,0.293,89
38,OF,0,4,ATL,0.237,10
95,SS,1,7,HOU,0.263,27
12,OF,0,0,SEA,0.0,6
19,C,0,1,ARI,0.158,12
66,C,2,8,ARI,0.242,14
392,OF,3,39,TOR,0.268,60
127,C,0,19,CWS,0.244,42
63,OF,0,3,LAD,0.206,14
68,OF,0,3,NYM,0.206,25
101,1B,1,8,CLE,0.198,24
95,SS,1,9,DET,0.284,27
190,1B,2,19,OAK,0.237,36
274,OF,3,38,HOU,0.237,99
354,DH,3,59,BOS,0.246,63
209,OF,1,26,LAD,0.249,49
244,C,3,29,HOU,0.225,75
277,1B,1,54,DET,0.35,55
92,3B,0,2,CIN,0.141,23
83,OF,0,6,TOR,0.193,22
91,2B,0,6,LAD,0.242,19
364,SS,4,67,SF,0.266,84
63,OF,1,2,TB,0.222,9
32,OF,0,0,NYY,0.219,4
366,OF,0,26,PHI,0.298,36
79,OF,0,12,NYM,0.203,27
395,OF,3,58,LAA,0.281,94
76,OF,1,7,MIA,0.263,13
251,SS,2,19,NYM,0.251,49
152,OF,0,17,KC,0.237,30
10,SS,0,1,MIN,0.3,1
358,3B,4,50,DET,0.237,98
215,2B,3,27,TOR,0.228,43
305,3B,2,22,PIT,0.279,48
354,SS,4,51,BOS,0.266,60
112,C,0,9,BOS,0.241,21
5,OF,0,0,BOS,0.2,1
57,OF,0,2,CHC,0.246,14
69,SS,0,4,SEA,0.159,13
379,2B,0,42,COL,0.322,73
58,3B,0,4,SF,0.207,12
353,OF,2,58,OAK,0.283,39
253,C,1,41,LAD,0.292,60
15,C,0,2,CHC,0.2,4
91,SS,0,11,PHI,0.286,14
32,OF,0,5,TB,0.188,10
384,1B,2,58,KC,0.315,71
127,3B,0,11,SF,0.213,28
397,SS,4,54,STL,0.285,75
198,C,3,20,CLE,0.227,57
49,OF,0,0,OAK,0.082,10
43,C,0,5,CHC,0.163,12
70,OF,1,9,TEX,0.186,36
329,OF,1,19,OAK,0.295,49
153,3B,0,10,CLE,0.235,31
130,OF,3,19,LAD,0.262,34
255,3B,4,29,SD,0.212,60
12,OF,0,4,NYM,0.333,1
41,3B,0,3,TOR,0.268,9
236,1B,2,35,OAK,0.229,53
401,OF,0,34,ATL,0.294,60
269,3B,1,40,PHI,0.283,46
285,OF,1,19,CLE,0.246,75
70,OF,0,3,SEA,0.214,27
33,OF,0,2,DET,0.152,13
132,OF,1,13,MIN,0.242,21
386,SS,3,51,BOS,0.319,63
383,2B,2,23,MIA,0.329,63
242,OF,1,33,NYY,0.26,52
310,3B,2,40,BAL,0.287,89
362,SS,2,32,WAS,0.312,52
211,1B,0,31,MIA,0.251,49
204,C,2,27,LAA,0.196,60
23,3B,0,3,CIN,0.261,12
217,2B,1,35,TOR,0.304,43
364,2B,3,47,ATL,0.25,80
25,C,2,2,SEA,0.16,5
354,OF,3,46,KC,0.314,64
342,1B,5,74,NYY,0.266,70
237,3B,5,36,WAS,0.211,50
233,OF,3,21,NYY,0.283,39
82,2B,0,4,NYM,0.195,22
232,3B,1,16,CWS,0.224,50
282,SS,3,32,NYY,0.199,50
44,1B,1,6,HOU,0.205,16
49,OF,0,5,HOU,0.143,17
213,2B,0,19,MIL,0.249,41
8,SS,0,0,NYY,0.25,0
58,OF,1,8,MIN,0.276,15
87,3B,0,13,TEX,0.218,43
346,3B,6,61,NYY,0.277,89
318,OF,3,27,ARI,0.289,37
8,C,0,3,TEX,0.5,0
73,SS,0,3,TEX,0.247,11
383,OF,5,25,SF,0.264,66
405,2B,3,45,SEA,0.262,72
349,OF,4,53,COL,0.281,79
391,OF,0,25,CWS,0.269,79
136,C,2,15,BAL,0.265,36
55,C,0,4,TB,0.145,20
87,OF,0,7,SD,0.218,28
35,OF,1,5,STL,0.4,6
278,OF,2,33,NYY,0.259,55
245,C,1,11,CIN,0.278,24
212,C,1,37,BAL,0.25,50
390,OF,5,46,ARI,0.305,64
39,SS,0,7,NYY,0.308,7
36,OF,0,4,CIN,0.194,6
361,C,0,51,SD,0.241,91
26,C,0,2,TOR,0.269,2
192,SS,2,34,HOU,0.297,40
173,3B,2,15,CWS,0.237,34
29,C,0,1,MIA,0.069,12
100,1B,0,9,COL,0.29,10
19,OF,0,2,HOU,0.316,2
302,SS,2,26,ARI,0.232,57
287,OF,1,25,TEX,0.22,68
387,OF,2,27,CHC,0.243,94
344,OF,3,24,CIN,0.227,60
245,OF,2,15,MIA,0.241,35
331,SS,3,25,ARI,0.23,95
271,1B,2,24,SD,0.28,39
94,SS,0,1,SEA,0.17,31
64,2B,0,6,MIA,0.156,12
75,2B,1,5,LAA,0.133,29
13,OF,0,1,LAA,0.077,4
30,3B,0,2,PIT,0.133,2
160,OF,0,14,SEA,0.238,48
