ORtg,TRB%,TS%,eFG%,STL%,DRtg,ORB%,Rk,AST%
53,0.0,.568, ,0.0,118,0.0,69,0.0
147,28.9,.521,.250,1.7,91,11.2,56,3.7
 ,0.0, , ,0.0,79,0.0,15,0.0
160,22.4,.726,.750,2.8,79,19.6,73,8.6
156,10.0,.532,.000,0.0,95,0.0,59,7.4
64,6.9,1.000,1.000,0.0,90,0.0,16,5.1
115,37.1,1.000,1.000,0.0,81,28.6,3,0.0
157,5.0,1.031,1.000,0.0,110,10.0,66,0.0
98,17.5,1.000,1.000,2.0,104,10.7,68,0.0
105,19.2,.518,.400,2.1,113,9.7,61,0.0
49,12.1,1.000,1.000,0.0,96,0.0,55,0.0
105,6.3,.750,.750,3.6,86,0.0,35,0.0
144,0.0,1.042,1.000,0.0,118,0.0,53,0.0
28,7.2,.000,.000,0.0,86,16.7,7,0.0
109,4.4,.694,.500,0.0,126,0.0,38,0.0
66,10.7,.000,.000,10.4,82,22.6,22,0.0
55,14.3,.193,.167,0.0,99,13.3,27,4.9
217,10.7,1.042,1.000,0.0,93,0.0,30,0.0
129,12.3,.904,1.000,0.0,109,0.0,51,0.0
159,11.2,.798,1.000,0.0,102,0.0,48,0.0
82,11.3,.500,.500,0.0,99,5.9,42,0.0
131,17.1,.595,.571,0.0,118,22.1,37,0.0
207,6.7, , ,0.0,122,0.0,21,14.3
169,17.2,.694,.500,4.1,78,9.5,26,0.0
103,25.0,.387,.333,0.0,86,10.2,11,11.5
200,20.4,1.000,1.000,8.9,88,19.6,2,0.0
113,11.4,.563,.500,2.0,89,14.6,49,0.0
54,18.8,.250,.250,0.0,89,0.0,31,0.0
135,15.9,.644,.667,2.7,84,0.0,45,7.2
114,30.4,.510,.400,2.3,89,13.7,36,5.0
59,33.0,.200,.200,0.0,101,71.1,8,0.0
0,5.2,.000,.000,0.0,89,0.0,10,0.0
126,25.4,.717,.750,0.0,84,6.9,63,7.1
210,8.2,1.025,1.000,3.8,91,9.5,24,0.0
208,16.5, , ,0.0,133,14.0,33,0.0
97,19.0,.500,.500,0.0,97,13.3,28,0.0
125,23.5,.387,.333,0.0,91,40.0,13,0.0
