Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Luke Yoder,GCL,50,156,43,40,9,5,4,14,13,2,28,45,0.256,0.406,0.455,0.861
Henry Ramos,GCL,43,136,18,42,8,1,3,26,12,6,12,28,0.309,0.37,0.449,0.819
Boss Moanaroa,GCL,18,56,8,15,3,0,2,9,0,0,9,14,0.268,0.373,0.429,0.802
Keury De La Cruz,GCL,51,198,35,52,10,7,6,31,9,6,17,50,0.263,0.32,0.475,0.794
William Holmes,GCL,36,124,21,29,8,0,6,28,0,0,14,37,0.234,0.331,0.444,0.775
Moko Moanaroa,GCL,31,108,13,32,7,0,0,15,1,0,8,18,0.296,0.374,0.361,0.735
Trygg Danforth,GCL,42,145,20,37,10,0,2,15,1,1,23,39,0.255,0.359,0.366,0.724
Jason Thompson,GCL,50,172,18,39,10,1,5,23,10,1,13,50,0.227,0.284,0.384,0.668
Heiker Meneses,GCL,56,208,27,52,8,3,3,24,17,6,12,47,0.25,0.304,0.361,0.664
Jose Vinicio,GCL,43,158,23,40,4,6,1,22,13,1,7,26,0.253,0.29,0.373,0.663
Leonel Escobar,GCL,27,54,5,14,0,0,0,6,1,0,8,9,0.259,0.388,0.259,0.647
Oscar Perez,GCL,30,84,7,21,1,0,0,6,2,0,6,23,0.25,0.3,0.262,0.562
