Hunt Valley,Timonium,Lutherville,North Avenue,Penn Station,Univ. of Baltimore/Mt. Royal Ave.,Lexington Market,Camden Yards,Patapsco,North Linthicum,BWI Marshall Airport,Cromwell Station
--,--,--,4:21a,--,4:23a,4:31a,4:38a,4:46a,4:53a,5:05a,--
--,--,--,4:36a,--,4:38a,4:46a,4:53a,5:01a,5:08a,--,5:17a
--,--,--,4:51a,--,4:53a,5:01a,5:08a,5:16a,5:23a,5:35a,--
--,--,--,5:06a,--,5:08a,5:16a,5:23a,5:31a,5:38a,--,05:47
--,--,--,--,5:14a,5:16a,5:24a,5:31a,--,--,--,--
--,--,--,5:21a,--,5:23a,5:31a,5:38a,5:46a,5:53a,6:05a,--
--,--,--,5:36a,--,5:38a,5:46a,5:53a,6:01a,6:08a,--,6:17a
--,--,--,--,5:44a,5:46a,5:54a,6:01a,--,--,--,--
--,--,--,5:51a,--,5:53a,6:01a,6:08a,6:16a,6:23a,6:35a,--
--,--,--,6:06a,--,6:08a,6:16a,6:23a,6:31a,6:38a,--,6:47a
--,--,--,--,6:14a,6:16a,6:24a,6:31a,--,--,--,--
--,--,--,6:21a,--,6:23a,6:31a,6:38a,6:46a,6:53a,7:05a,--
6:00a,6:14a,6:17a,6:36a,--,6:38a,6:46a,6:53a,7:01a,7:08a,--,7:17a
--,--,--,--,6:44a,6:46a,6:54a,7:01a,--,--,--,--
6:15a,6:29a,6:32a,6:51a,--,6:53a,7:01a,7:08a,7:16a,7:23a,7:35a,--
6:30a,6:44a,6:47a,7:06a,--,7:08a,7;16a,7:23a,7:31a,7:38a,--,7:47a
--,--,--,--,7:14a,7:16a,7:24a,7:31a,--,--,--,--
6:45a,6:59a,7:02a,7:21a,--,7:23a,7:31a,7:38a,7:46a,753a,8:05a,--
7:00a,7:14a,7:17a,7:36a,--,7:38a,7:46a,7:53a,8:01a,8:08a,--,8:17a
--,--,--,--,7:44a,7:46a,7:54a,8:01a,--,--,--,--
7:15a,7:29a,7:32a,7:51a,--,7:53a,8:01a,8:08a,8:16a,8:23a,8:35a,--
7:30a,7:44a,7:47a,8:06a,--,8:08a,8:16a,8:23a,8:31a,8:38a,--,8:47a
--,--,--,--,8:14a,8:16a,8:24a,8:31a,--,--,--,--
7:45a,8:14a,8:02a,8:21a,--,8:23a,8:31a,8:38a,8:46a,8:53a,9:05a,--
8:00a,8:14a,8:17a,8:36a,--,8:38a,8:54a,8:53a,9:01a,9:08a,--,9:17a
--,--,--,--,8:44a,8:46a,08:54,9:01a,--,--,--,--
8:15a,8:29a,8:32a,8:51a,--,8:53a,9:01a,9:08a,9:16a,9:23a,9:35a,--
8:30a,8:44a,8:47a,9:06a,--,9:08a,9:16a,9:23a,9:31a,9:38a,--,9:47a
--,--,--,--,9:14a,9:16a,--,9:31a,--,--,--,--
