Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09CAN54,0.0,0.0,64.9,1982.0,L,1.0,09/18/2009,5.0,CAN3925,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09EAME04,0.0,0.0,62.7,1982.0,R,1.0,08/23/2009,7.0,DEN01VVK,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09EAME04,0.0,0.0,61.3,1982.0,R,2.0,08/23/2009,7.0,DEN01VVK,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09FRA05,0.0,0.0,59.0,1982.0,R,1.0,07/19/2009,5.0,FRA2110,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09FRA05,52.0,0.0,0.0,1982.0,R,1.0,07/19/2009,8.0,FRA2110,4.00@12.000,58.0
SERRAULT Aurelien,FRA,M,09FRA05,0.0,0.0,0.0,1982.0,R,2.0,07/19/2009,5.0,FRA2110,0.00@0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09FRA05,45.0,0.0,0.0,1982.0,R,2.0,07/19/2009,8.0,FRA2110,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09FRA19,0.0,0.0,63.4,1982.0,R,1.0,06/21/2009,1.0,FRA3303,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09FRA19,0.0,0.0,66.0,1982.0,R,2.0,06/21/2009,1.0,FRA3303,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,08MAS01,0.0,0.0,55.0,1982.0,L,1.0,11/09/2008,10.0,MASPUTRA,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09RUS01,0.0,0.0,63.0,1982.0,R,1.0,07/12/2009,9.0,RUSDUBNA,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09C067P,0.0,0.0,65.1,1982.0,R,1.0,06/06/2009,9.0,USAC0071,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09C067P,0.0,0.0,62.5,1982.0,R,2.0,06/06/2009,9.0,USAC0071,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,10S062R,0.0,0.0,61.2,1982.0,R,1.0,10/31/2009,4.0,USAS0001,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,10S062R,0.0,0.0,64.5,1982.0,R,2.0,10/31/2009,4.0,USAS0001,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09S098R,0.0,0.0,63.1,1982.0,R,2.0,04/23/2009,10.0,USAS0306,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,10S042R,0.0,0.0,63.1,1982.0,R,1.0,10/25/2009,3.0,USAS0306,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,10S042R,0.0,0.0,64.0,1982.0,R,2.0,10/25/2009,3.0,USAS0306,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09S103R,0.0,0.0,65.5,1982.0,R,1.0,05/17/2009,8.0,USAS0355,0.271,57.0
 , , , , , , , , , , , , , , 
SERRAULT Aurelien,FRA,M,09S103R,0.0,0.0,62.3,1982.0,R,2.0,05/17/2009,8.0,USAS0355,0.271,57.0
