hr,sb,sf,bb,hbp,rbi,3b,h,avg
1,1,0,3,0,1,0,2,0.249
0,0,0,0,0,1,0,5,0.2
1,0,0,0,1,1,0,1,0.22
1,0,0,1,0,1,0,4,0.244
0,0,1,4,0,3,0,6,0.285
0,1,0,0,0,6,0,10,0.234
0,0,0,0,0,3,0,6,0.266
0,0,0,0,0,3,0,13,0.232
1,2,0,4,0,3,0,6,0.287
1,1,1,1,0,7,0,10,0.269
1,0,0,4,0,2,0,4,0.288
2,0,0,1,0,8,0,13,0.29
3,1,0,5,0,9,0,12,0.287
2,3,1,3,1,8,0,13,0.289
0,1,0,1,0,0,0,4,0.283
1,1,0,3,0,3,0,4,0.287
1,1,0,2,0,2,0,7,0.264
0,0,0,4,0,2,0,3,0.212
1,0,1,2,1,10,1,12,0.252
1,2,0,1,0,5,0,8,0.281
0,0,1,4,0,2,0,4,0.258
0,1,1,4,0,9,0,11,0.29
1,0,0,1,0,1,0,4,0.285
0,0,2,2,0,4,1,9,0.273
2,0,1,0,1,7,0,10,0.28
0,0,0,0,0,0,0,3,0.266
1,0,0,0,0,3,0,7,0.285
0,0,0,5,0,1,0,3,0.241
0,0,0,0,0,0,0,0,0.227
0,2,0,6,0,6,1,8,0.265
0,0,0,1,0,3,0,7,0.27
0,0,0,0,2,1,0,6,0.284
2,0,1,4,1,6,0,7,0.24
0,1,0,0,0,3,0,8,0.284
0,1,0,2,3,1,0,5,0.239
2,1,0,4,0,8,0,12,0.285
2,2,0,3,0,8,0,10,0.269
2,0,0,2,0,4,0,7,0.28
0,2,0,2,0,5,0,10,0.257
