Team,Opp,Pos,Player,Rushing Yards,Rushing TDs,Catches,Receiving Yards,Receiving TDs,Passing Yards,Passing TDs,INT,FF Pts
ARI,PHI,QB,Carson Palmer,0,0,0,0,0,290,1,2,18.5
ARI,PHI,WR,Larry Fitzgerald,0,0,7,100,1,0,0,0,16.0
ATL,@SD,QB,Matt Ryan,20,0,0,0,0,290,2,1,24.5
ATL,@SD,WR,Julio Jones,0,0,6,90,1,0,0,0,15.0
ATL,@SD,WR,Leonard Hankerson,0,0,3,60,1,0,0,0,12.0
ATL,@SD,WR,Roddy White,0,0,5,80,0,0,0,0,8.0
ATL,@SD,TE,Jacob Tamme,0,0,3,30,0,0,0,0,3.0
ATL,@SD,TE,Tony Moeaki,0,0,1,10,0,0,0,0,1.0
BAL,NE,QB,Joe Flacco,0,0,0,0,0,250,2,0,20.5
BAL,NE,QB,Matt Schaub,0,0,0,0,0,230,2,1,19.5
BAL,NE,WR,Steve Smith,0,0,5,100,1,0,0,0,16.0
BAL,NE,TE,Dennis Pitta,0,0,7,70,1,0,0,0,13.0
BUF,@CLE,QB,Matt Cassel,10,0,0,0,0,270,1,1,18.5
BUF,@CLE,RB,LeSean McCoy,80,1,4,20,0,0,0,0,16.0
BUF,@CLE,RB,Bryce Brown,10,0,0,0,0,0,0,0,1.0
BUF,@CLE,WR,Percy Harvin,20,0,7,100,1,0,0,0,18.0
CAR,NYG,QB,Cam Newton,40,1,0,0,0,260,2,0,31.0
CAR,NYG,RB,Jonathan Stewart,30,0,1,10,0,0,0,0,4.0
CAR,NYG,WR,Stephen Hill,0,0,4,60,0,0,0,0,6.0
CAR,NYG,TE,Greg Olsen,0,0,4,40,0,0,0,0,4.0
CHI,STL,QB,Jay Cutler,10,0,0,0,0,240,2,2,21.0
CHI,STL,RB,Jacquizz Rodgers,20,0,2,10,0,0,0,0,3.0
CHI,STL,WR,Alshon Jeffery,0,0,3,40,1,0,0,0,10.0
CHI,STL,TE,Martellus Bennett,0,0,6,70,1,0,0,0,13.0
CIN,@WAS,QB,Andy Dalton,0,0,0,0,0,280,2,2,22.0
CIN,@WAS,WR,Denarius Moore,0,0,4,70,1,0,0,0,13.0
CIN,@WAS,WR,A.J. Green,0,0,7,80,0,0,0,0,8.0
CIN,@WAS,WR,Brandon Tate,0,0,2,40,0,0,0,0,4.0
CLE,BUF,WR,Dwayne Bowe,0,0,5,100,1,0,0,0,16.0
CLE,BUF,WR,Andrew Hawkins,0,0,6,80,1,0,0,0,14.0
CLE,BUF,WR,Brian Hartline,0,0,5,70,0,0,0,0,7.0
CLE,BUF,WR,Josh Gordon,0,0,3,40,0,0,0,0,4.0
CLE,BUF,TE,Rob Housler,0,0,2,20,0,0,0,0,2.0
DAL,TB,QB,Tony Romo,0,0,0,0,0,320,3,1,28.0
DAL,TB,QB,Brandon Weeden,10,0,0,0,0,260,1,1,18.0
DAL,TB,RB,Darren McFadden,40,0,5,40,0,0,0,0,8.0
DAL,TB,RB,Ryan Williams,30,0,3,20,0,0,0,0,5.0
DAL,TB,WR,Dez Bryant,0,0,5,90,1,0,0,0,15.0
DAL,TB,TE,Jason Witten,0,0,6,70,1,0,0,0,13.0
DEN,HOU,QB,Peyton Manning,0,0,0,0,0,250,2,1,20.5
DEN,HOU,WR,Demaryius Thomas,0,0,5,70,1,0,0,0,13.0
DEN,HOU,WR,Emmanuel Sanders,0,0,2,30,0,0,0,0,3.0
DEN,HOU,TE,Owen Daniels,0,0,5,60,1,0,0,0,12.0
DET,@TEN,QB,Matthew Stafford,0,0,0,0,0,260,2,1,21.0
DET,@TEN,WR,Calvin Johnson,0,0,6,90,1,0,0,0,15.0
DET,@TEN,WR,Lance Moore,0,0,5,60,0,0,0,0,6.0
DET,@TEN,TE,Brandon Pettigrew,0,0,6,80,1,0,0,0,14.0
GB,@SEA,QB,Aaron Rodgers,20,1,0,0,0,290,1,1,26.5
GB,@SEA,WR,Jordy Nelson,0,0,5,70,0,0,0,0,7.0
GB,@SEA,WR,Randall Cobb,20,0,3,40,0,0,0,0,6.0
HOU,@DEN,RB,Arian Foster,80,1,3,20,0,0,0,0,16.0
HOU,@DEN,WR,Nate Washington,0,0,3,40,0,0,0,0,4.0
IND,JAC,QB,Andrew Luck,0,0,0,0,0,230,1,1,15.5
IND,JAC,RB,Frank Gore,90,1,2,10,0,0,0,0,16.0
IND,JAC,WR,Andre Johnson,0,0,6,80,1,0,0,0,14.0
IND,JAC,TE,Coby Fleener,0,0,5,40,1,0,0,0,10.0
JAC,@IND,RB,Toby Gerhart,20,0,2,10,0,0,0,0,3.0
JAC,@IND,WR,Justin Blackmon,0,0,3,30,0,0,0,0,3.0
JAC,@IND,TE,Marcedes Lewis,0,0,3,30,0,0,0,0,3.0
KC,@NO,QB,Alex Smith,0,0,0,0,0,250,2,0,20.5
KC,@NO,RB,Jamaal Charles,50,0,4,30,0,0,0,0,8.0
KC,@NO,WR,Jason Avant,0,0,5,60,0,0,0,0,6.0
KC,@NO,WR,Armon Binns,0,0,5,50,0,0,0,0,5.0
KC,@NO,WR,Jeremy Maclin,0,0,0,0,0,0,0,0,0.0
MIA,NYJ,QB,Ryan Tannehill,10,0,0,0,0,210,1,1,15.5
MIA,NYJ,WR,Greg Jennings,0,0,5,70,1,0,0,0,13.0
MIN,SF,RB,Adrian Peterson,80,1,2,20,0,0,0,0,16.0
MIN,SF,WR,Mike Wallace,0,0,5,80,0,0,0,0,8.0
MIN,SF,TE,Kyle Rudolph,0,0,4,40,0,0,0,0,4.0
NE,@BAL,QB,Tom Brady,0,0,0,0,0,300,2,1,23.0
NE,@BAL,WR,Danny Amendola,0,0,6,80,1,0,0,0,14.0
NE,@BAL,WR,Brandon LaFell,0,0,5,60,1,0,0,0,12.0
NE,@BAL,WR,Brandon Gibson,0,0,3,40,0,0,0,0,4.0
NE,@BAL,TE,Rob Gronkowski,0,0,6,70,1,0,0,0,13.0
NE,@BAL,TE,Scott Chandler,0,0,5,50,1,0,0,0,11.0
NO,KC,QB,Drew Brees,0,0,0,0,0,300,3,0,27.0
NO,KC,RB,C.J. Spiller,100,1,4,40,0,0,0,0,20.0
NO,KC,RB,Mark Ingram,40,1,0,0,0,0,0,0,10.0
NO,KC,WR,Marques Colston,0,0,4,60,0,0,0,0,6.0
NYG,@CAR,QB,Eli Manning,0,0,0,0,0,270,2,2,21.5
NYG,@CAR,WR,Victor Cruz,0,0,7,100,1,0,0,0,16.0
NYG,@CAR,WR,Rueben Randle,0,0,3,40,0,0,0,0,4.0
NYJ,@MIA,QB,Ryan Fitzpatrick,0,0,0,0,0,220,2,2,19.0
NYJ,@MIA,RB,Stevan Ridley,70,1,3,30,0,0,0,0,16.0
NYJ,@MIA,WR,Brandon Marshall,0,0,6,100,1,0,0,0,16.0
NYJ,@MIA,WR,Eric Decker,0,0,4,50,1,0,0,0,11.0
NYJ,@MIA,WR,Jeremy Kerley,0,0,3,50,0,0,0,0,5.0
NYJ,@MIA,WR,T.J. Graham,0,0,1,10,0,0,0,0,1.0
NYJ,@MIA,TE,Kellen Davis,0,0,2,20,0,0,0,0,2.0
OAK,PIT,QB,Christian Ponder,0,0,0,0,0,230,1,1,15.5
OAK,PIT,RB,Trent Richardson,100,1,4,40,0,0,0,0,20.0
OAK,PIT,WR,Michael Crabtree,0,0,6,70,0,0,0,0,7.0
PHI,@ARI,QB,Mark Sanchez,0,0,0,0,0,210,1,1,14.5
PHI,@ARI,QB,Sam Bradford,0,0,0,0,0,200,1,1,14.0
PHI,@ARI,RB,DeMarco Murray,110,1,2,20,0,0,0,0,19.0
PHI,@ARI,RB,Ryan Mathews,80,1,1,10,0,0,0,0,15.0
PHI,@ARI,RB,Darren Sproles,20,0,6,60,1,0,0,0,14.0
PHI,@ARI,WR,Miles Austin,0,0,6,100,1,0,0,0,16.0
PHI,@ARI,TE,Brent Celek,0,0,6,70,0,0,0,0,7.0
PIT,@OAK,QB,Ben Roethlisberger,0,0,0,0,0,260,2,1,21.0
PIT,@OAK,RB,DeAngelo Williams,70,0,0,0,0,0,0,0,7.0
PIT,@OAK,WR,Antonio Brown,0,0,7,100,1,0,0,0,16.0
PIT,@OAK,WR,Darrius Heyward-Bey,0,0,4,50,0,0,0,0,5.0
PIT,@OAK,TE,Heath Miller,0,0,4,30,1,0,0,0,9.0
SD,ATL,QB,Philip Rivers,0,0,0,0,0,250,1,1,16.5
SD,ATL,RB,Donald Brown,60,1,0,0,0,0,0,0,12.0
SD,ATL,WR,Steve Johnson,0,0,4,60,1,0,0,0,12.0
SD,ATL,WR,Malcom Floyd,0,0,6,80,0,0,0,0,8.0
SD,ATL,TE,Antonio Gates,0,0,5,60,1,0,0,0,12.0
SEA,GB,QB,Russell Wilson,30,0,0,0,0,160,1,1,15.0
SEA,GB,RB,Marshawn Lynch,100,1,1,10,0,0,0,0,17.0
SEA,GB,WR,Doug Baldwin,0,0,2,20,0,0,0,0,2.0
SEA,GB,TE,Jimmy Graham,0,0,6,80,1,0,0,0,14.0
SEA,GB,TE,Anthony McCoy,0,0,3,30,1,0,0,0,9.0
SF,@MIN,QB,Blaine Gabbert,0,0,0,0,0,150,1,1,11.5
SF,@MIN,RB,Reggie Bush,110,1,4,40,0,0,0,0,21.0
SF,@MIN,WR,Anquan Boldin,0,0,4,60,1,0,0,0,12.0
SF,@MIN,WR,Torrey Smith,0,0,3,60,0,0,0,0,6.0
SF,@MIN,TE,Vernon Davis,0,0,5,70,1,0,0,0,13.0
STL,@CHI,WR,Kenny Britt,0,0,3,50,0,0,0,0,5.0
STL,@CHI,TE,Jared Cook,0,0,4,60,1,0,0,0,12.0
STL,@CHI,TE,Lance Kendricks,0,0,1,10,0,0,0,0,1.0
TB,@DAL,RB,Doug Martin,60,0,2,10,0,0,0,0,7.0
TB,@DAL,WR,Vincent Jackson,0,0,5,70,0,0,0,0,7.0
TB,@DAL,WR,Louis Murphy,0,0,2,30,0,0,0,0,3.0
TB,@DAL,TE,Brandon Myers,0,0,6,60,0,0,0,0,6.0
TEN,DET,RB,Dexter McCluster,0,0,5,50,0,0,0,0,5.0
TEN,DET,WR,Kendall Wright,0,0,3,40,0,0,0,0,4.0
TEN,DET,WR,Harry Douglas,0,0,3,30,0,0,0,0,3.0
TEN,DET,WR,Hakeem Nicks,0,0,0,0,0,0,0,0,0.0
TEN,DET,TE,Anthony Fasano,0,0,3,20,1,0,0,0,8.0
WAS,CIN,QB,Robert Griffin III,60,1,0,0,0,250,2,0,32.5
WAS,CIN,RB,Alfred Morris,90,1,0,0,0,0,0,0,15.0
WAS,CIN,WR,DeSean Jackson,0,0,4,90,1,0,0,0,15.0
WAS,CIN,WR,Andre Roberts,0,0,4,40,0,0,0,0,4.0
WAS,CIN,WR,Pierre Garcon,0,0,0,0,0,0,0,0,0.0
