GS,TOV%,MP,BLK%,Opp,Rk,USG%
0,25.8,24:47,0.0,MEM,19,14.7
0,0.0,23:43,0.0,POR,43,10.8
0,0.0,5:15,0.0,HOU,26,8.7
0,25.8,19:09,0.0,GSW,52,9.2
0,0.0,2:03,0.0,NYK,3,40.5
0,0.0,2:17,0.0,SAC,5,39.2
0,0.0,18:25,0.0,DEN,36,12.5
0, ,5:14,0.0,BOS,48,0.0
0,100.0,3:25,0.0,POR,20,15.0
0,40.0,14:46,0.0,ORL,32,16.2
0,66.7,15:58,0.0,IND,49,18.8
0,0.0,17:31,0.0,NOK,53,20.0
0,0.0,9:57,0.0,PHO,57,12.9
0, ,4:27,0.0,CHI,23,0.0
0,50.0,4:12,0.0,PHO,30,20.9
0,20.2,24:58,0.0,SEA,51,19.1
0, ,2:32,0.0,MEM,27,0.0
0,0.0,5:25,0.0,NOK,12,8.5
0,20.0,9:56,7.3,DAL,62,24.9
0,17.0,10:39,0.0,DAL,6,26.0
0,20.2,14:17,0.0,SAC,60,32.6
1,0.0,19:32,0.0,DEN,64,9.6
0,0.0,3:02,0.0,WAS,22,14.3
