Name,GP,Min,Pts,FG,FGA,FG%,2Pt,2PtA,2P%,3Pt,3PtA,3P%,FTM,FTA,FT%,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs
Jerian Grant,38,37.1,16.5,5.4,11.2,47.8,4.1,7.1,57.2,1.3,4.2,31.6,4.5,5.7,78.0,0.3,2.7,3.0,6.6,1.7,0.5,2.2,2.0
Pat Connaughton,38,35.6,12.5,4.4,9.4,46.6,1.9,3.6,53.7,2.4,5.8,42.3,1.3,1.7,78.1,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2.0
Demetrius Jackson,38,34.7,12.4,4.4,8.7,50.8,3.0,5.3,55.7,1.4,3.3,42.9,2.2,2.9,74.5,1.2,2.4,3.6,3.1,1.6,0.3,1.5,1.9
Steve Vasturia,38,32.5,10.1,3.5,7.1,49.1,1.9,3.3,58.4,1.6,3.8,41.1,1.5,1.7,86.4,0.5,2.5,3.0,1.7,1.1,0.1,1.2,2.2
Zach Auguste,37,24.4,12.9,5.1,8.3,61.9,5.1,8.3,61.9,0.0,0.0, ,2.6,4.1,63.6,2.2,4.2,6.5,0.8,0.7,0.7,1.6,2.5
V.J. Beachem,33,14.6,5.9,2.0,4.4,45.5,0.7,1.3,54.5,1.3,3.1,41.6,0.7,0.9,75.9,0.3,1.1,1.4,0.5,0.2,0.2,0.5,0.8
Bonzie Colson,32,12.1,5.6,2.1,3.5,59.5,2.0,3.3,62.5,0.0,0.2,14.3,1.4,1.9,75.4,0.8,1.8,2.7,0.4,0.6,0.7,0.4,1.3
Martin Geben,22,8.8,1.6,0.5,0.9,55.0,0.5,0.9,55.0,0.0,0.0, ,0.6,0.9,70.0,0.4,1.2,1.6,0.4,0.0,0.4,0.6,1.0
Austin Torres,26,7.4,2.1,0.9,1.3,68.6,0.9,1.3,68.6,0.0,0.0, ,0.3,0.4,70.0,0.7,1.0,1.7,0.2,0.1,0.0,0.2,0.8
Austin Burgett,20,7.0,1.7,0.8,1.4,55.6,0.7,0.8,87.5,0.1,0.6,9.1,0.2,0.3,50.0,0.4,1.1,1.4,0.4,0.3,0.1,0.4,1.1
Matt Farrell,15,4.1,0.9,0.2,0.9,23.1,0.1,0.5,28.6,0.1,0.4,16.7,0.5,0.5,87.5,0.0,0.4,0.4,0.5,0.1,0.0,0.2,0.2
Matt Gregory,10,2.1,0.4,0.1,0.3,33.3,0.1,0.3,33.3,0.0,0.0, ,0.2,0.4,50.0,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.0
Eric Katenda,15,2.1,0.9,0.3,1.1,23.5,0.3,1.1,23.5,0.0,0.0, ,0.3,0.6,55.6,0.1,0.4,0.5,0.1,0.1,0.1,0.1,0.2
