eFG%,TOV%,USG%,Rk,ORB%,GS,DRtg,AST%,Age
 , ,0.0,29,0.0,0,115,0.0,25-297
.875,14.8,32.2,34,22.3,0,122,28.8,25-309
.667,0.0,10.0,15,4.4,1,105,17.1,25-263
.600,15.5,16.7,8,6.1,1,116,34.2,25-252
.000,0.0,17.0,1,47.3,0,107,0.0,25-215
 , ,0.0,55,0.0,0,121,0.0,26-001
.429,9.4,16.5,56,11.3,0,121,14.4,26-002
 , ,0.0,45,0.0,0,93,0.0,25-335
.000,0.0,14.7,47,0.0,0,119,0.0,25-340
.333,27.9,23.4,33,12.0,0,114,6.3,25-307
.000,0.0,14.1,54,0.0,0,128,41.0,25-357
.538,0.0,17.2,18,3.3,1,120,0.0,25-270
 ,100.0,21.7,52,0.0,0,133,0.0,25-351
.286,0.0,16.5,60,11.0,0,125,6.8,26-009
.333,40.0,21.1,38,10.9,0,122,0.0,25-319
 , ,0.0,53,0.0,0,124,0.0,25-353
1.000,63.5,14.4,27,5.1,0,116,16.1,25-290
.000,0.0,15.1,28,0.0,0,82,0.0,25-291
.400,10.5,14.9,61,4.2,0,122,8.1,26-011
.000,34.2,18.9,9,0.0,1,95,15.8,25-253
.600,16.7,11.7,37,0.0,0,104,0.0,25-317
.000,0.0,14.0,50,17.4,0,80,0.0,25-347
.500,0.0,4.3,62,0.0,0,125,12.8,26-013
.714,32.5,21.9,21,8.3,0,111,7.0,25-277
1.000,25.0,14.4,6,8.7,0,115,0.0,25-243
.400,16.7,25.5,57,0.0,0,107,0.0,26-003
.889,18.2,12.4,19,0.0,1,123,15.3,25-274
 , ,0.0,48,0.0,0,123,0.0,25-343
.400,20.9,16.9,20,8.6,1,101,0.0,25-275
.200,22.8,12.8,17,3.7,1,97,16.9,25-268
 , ,0.0,3,0.0,0,110,0.0,25-221
.333,10.0,14.1,7,6.9,1,122,13.9,25-250
.500,0.0,11.1,25,0.0,0,124,19.4,25-284
.500,33.3,5.8,58,0.0,0,125,5.2,26-005
