PO,RF/G,Rtz,Tm,DP,RF/9,Inn
623,7.51,-2,KCR,78,8.90,675.2
25,3.38,-0,CLE,2,7.01,34.2
97,9.18,2,CLE,8,9.99,91.0
11,6.00,-0,TBD,2,6.35,17.0
79,6.69,0,KCR,6,9.43,83.0
281,5.81,-3,SEA,39,8.07,337.0
2,2.00,0,KCR,0,18.00,1.0
57,7.63,-0,MIN,5,8.71,63.0
992,7.89,-1,DET,87,9.41,989.0
214,6.76,-1,LAA,25,8.85,234.0
6,6.00,0,NYY,1,9.00,6.0
852,9.09,-6,BAL,94,9.46,873.0
108,6.33,1,NYY,10,8.48,121.0
99,7.79,-1,TOR,11,10.22,96.0
497,7.59,-0,TEX,51,10.18,456.0
1180,8.87,-2,CHW,131,9.17,1227.2
402,8.29,2,KCR,37,9.21,421.0
167,6.07,-3,NYY,16,9.74,162.2
22,6.00,-0,TOR,2,9.39,23.0
6,6.00,0,CHW,0,6.75,8.0
9,1.80,0,NYY,1,9.72,8.1
256,6.47,2,BOS,25,9.07,276.0
94,7.14,1,TEX,8,9.38,96.0
180,5.91,0,DET,17,8.98,195.1
1,1.00,-2,BOS,0,3.00,3.0
2,2.00, ,BAL,0,9.00,2.0
162,7.77,-0,NYY,16,9.84,156.1
0,0.00,0,BAL,0,0.00,1.0
67,5.07,1,NYY,9,8.60,74.1
5,1.50,-0,SEA,0,9.53,5.2
