BB,POS,AVG,3B,AB,HR,OPS
102,1B,0.274,0,372,21,0.938
4,LF,0.196,1,46,1,0.559
0,C,0.2,0,5,0,0.6
38,LF,0.314,1,283,8,0.864
0,C,0.176,0,17,0,0.412
1,C,0.333,0,18,0,0.813
12,1B,0.277,0,141,3,0.759
9,3B,0.165,0,121,2,0.479
14,1B,0.262,0,195,6,0.745
28,SS,0.177,2,220,3,0.56
1,1B,0.2,0,5,0,0.533
0,OF,0.364,0,11,1,1.0
6,3B,0.189,2,53,0,0.573
1,2B,0.5,0,2,0,1.167
0,SS,0.182,0,11,0,0.364
47,LF,0.222,9,446,8,0.658
6,C,0.174,0,69,0,0.414
25,RF,0.241,1,220,9,0.761
56,1B,0.275,0,499,16,0.776
56,2B,0.272,5,459,10,0.777
28,RF,0.326,2,331,16,0.95
15,2B,0.303,1,251,2,0.756
44,SS,0.262,3,451,9,0.717
10,C,0.295,0,88,0,0.735
23,3B,0.253,2,265,7,0.728
39,DH,0.298,3,255,3,0.816
0,2B,0.217,0,23,2,0.786
20,RF,0.291,4,220,14,0.91
1,C,0.2,0,15,1,0.65
0,C,0.0,0,1,0,0.0
28,C,0.22,4,323,0,0.562
1,3B,0.2,0,5,0,0.533
25,2B,0.241,7,294,1,0.633
26,2B,0.246,1,195,3,0.683
24,OF,0.365,0,200,7,0.983
44,RF,0.231,4,415,21,0.787
5,OF,0.264,1,212,10,0.771
2,2B,0.213,0,155,1,0.512
8,RF,0.174,0,69,0,0.496
2,OF,0.143,1,28,0,0.44
24,OF,0.271,1,199,6,0.795
29,CF,0.268,6,418,6,0.702
30,C,0.277,1,441,8,0.731
51,3B,0.283,2,283,1,0.771
5,SS,0.295,2,193,1,0.719
0,RF,0.333,0,6,0,0.667
1,2B,0.25,0,16,0,0.544
0,CF,0.5,0,4,0,1.0
35,3B,0.252,4,385,17,0.785
16,2B,0.198,0,96,0,0.563
39,2B,0.272,6,482,3,0.674
9,LF,0.19,1,84,1,0.549
30,3B,0.319,2,116,6,1.064
53,1B,0.253,1,443,17,0.774
14,C,0.218,1,197,3,0.599
7,OF,0.182,0,110,2,0.523
0,C,0.333,0,3,0,0.667
23,OF,0.253,0,392,13,0.718
51,3B,0.296,3,240,2,0.825
78,1B,0.221,4,444,16,0.736
9,3B,0.253,0,186,4,0.67
6,OF,0.268,0,71,1,0.644
1,C,0.273,0,11,0,0.606
55,OF,0.267,9,521,2,0.697
14,LF,0.204,1,201,0,0.514
22,SS,0.225,2,405,4,0.588
8,1B,0.235,0,196,8,0.686
10,SS,0.263,1,118,1,0.693
8,SS,0.276,4,460,6,0.665
24,C,0.268,0,183,6,0.773
0,2B,0.0,0,9,0,0.0
2,LF,0.286,1,7,0,1.016
2,RF,0.154,0,13,0,0.466
44,C,0.304,2,312,0,0.78
12,DH,0.243,0,103,1,0.63
3,CF,0.333,1,6,0,1.222
13,2B,0.303,2,175,3,0.772
8,C,0.296,0,108,0,0.702
21,3B,0.206,1,345,8,0.573
58,2B,0.257,4,522,4,0.68
4,1B,0.125,0,24,0,0.467
12,SS,0.218,3,156,0,0.571
51,OF,0.24,0,466,21,0.76
1,C,0.214,0,14,0,0.552
15,LF,0.248,4,262,4,0.636
19,CF,0.313,2,304,5,0.802
3,C,0.273,0,22,1,0.779
1,2B,0.143,0,14,0,0.343
33,C,0.275,1,236,6,0.812
4,LF,0.239,0,67,1,0.625
19,2B,0.291,3,247,8,0.801
14,SS,0.289,1,76,1,0.801
31,SS,0.24,0,250,2,0.643
15,3B,0.299,0,87,1,0.793
1,SS,0.0,0,7,0,0.125
10,C,0.299,0,117,3,0.768
20,3B,0.228,0,202,2,0.617
19,C,0.203,2,354,12,0.603
18,C,0.257,0,206,1,0.668
16,C,0.26,0,154,2,0.702
55,OF,0.284,7,489,17,0.824
55,OF,0.292,1,353,0,0.704
36,3B,0.236,3,233,19,0.915
20,SS,0.185,3,173,4,0.578
73,1B,0.25,1,460,8,0.706
4,3B,0.333,0,9,0,0.872
0,OF,0.333,0,9,0,0.667
37,2B,0.25,1,260,2,0.69
5,DH,0.262,0,84,2,0.661
17,C,0.243,0,144,2,0.704
10,C,0.138,0,80,1,0.433
3,OF,0.216,0,37,1,0.599
47,C,0.177,1,310,3,0.542
1,1B,0.4,0,15,0,1.004
4,2B,0.145,0,55,1,0.455
0,C,0.333,0,3,0,0.667
56,SS,0.28,1,371,2,0.733
27,OF,0.288,3,451,17,0.832
11,OF,0.258,0,225,2,0.642
