Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
8/2/2015,POR @ SJ,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/26/2015,SJ @ VAN,L 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/17/2015,SJ @ LA,L 2-5,Unused Sub,0,0,0,0,0,0,0,0,0
7/10/2015,HOU @ SJ,L 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/5/2015,SJ @ POR,L 0-1,Subbed On,1,0,0,0,0,0,0,0,0
6/27/2015,LA @ SJ,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
6/20/2015,SJ @ SEA,W 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/7/2015,DAL @ SJ,T 0-0,Subbed On,5,0,0,0,0,1,0,0,1
5/30/2015,SJ @ TOR,L 1-3,Started,75,0,0,1,0,0,1,0,0
5/24/2015,ORL @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/16/2015,CLB @ SJ,W 0-2,Subbed On,1,0,0,0,0,0,0,0,0
5/8/2015,SJ @ COL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/5/2015,SJ @ HOU,W 1-0,Subbed On,61,0,0,0,0,3,2,0,0
5/1/2015,SJ @ RSL,T 1-1,Subbed On,5,0,0,1,0,0,0,0,0
4/17/2015,SJ @ NYR,L 0-2,Started,56,0,0,0,0,2,0,0,0
4/11/2015,VAN @ SJ,W 0-1,Subbed On,26,0,0,0,0,0,0,0,0
4/5/2015,RSL @ SJ,L 1-0,Subbed On,53,0,0,3,2,0,1,0,0
3/28/2015,SJ @ NE,L 1-2,Started,45,0,0,0,0,0,0,0,0
3/22/2015,CHI @ SJ,W 1-2,Started,90,0,0,3,0,4,2,0,0
3/14/2015,SJ @ SEA,W 3-2,Started,90,0,0,1,1,1,1,0,0
3/7/2015,SJ @ DAL,L 0-1,Started,60,0,0,0,0,0,1,0,0
10/26/2014,SJ @ CHV,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/18/2014,VAN @ SJ,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/11/2014,SJ @ RSL,L 0-2,Started,90,0,0,0,0,1,0,0,0
10/8/2014,SJ @ POR,L 0-3,Started,90,0,0,0,0,2,0,0,0
10/4/2014,POR @ SJ,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/27/2014,SJ @ COL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/20/2014,SJ @ MTL,L 0-2,Started,90,0,0,0,0,1,1,0,0
9/14/2014,LA @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/10/2014,SJ @ VAN,L 0-2,Started,66,0,0,0,0,1,0,0,0
9/7/2014,SJ @ POR,T 3-3,Subbed On,13,0,0,0,0,0,0,0,0
8/30/2014,RSL @ SJ,T 1-1,Subbed On,7,0,0,0,0,0,0,0,0
8/24/2014,SJ @ PHI,L 2-4,Started,45,0,0,1,0,0,0,0,0
8/20/2014,SJ @ SEA,T 1-1,Started,90,0,0,2,0,1,1,1,0
8/16/2014,DAL @ SJ,L 5-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/8/2014,SJ @ LA,T 2-2,Subbed On,7,0,0,0,0,0,0,0,0
8/2/2014,SEA @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/23/2014,CHI @ SJ,W 1-5,Unused Sub,0,0,0,0,0,0,0,0,0
7/19/2014,SJ @ NY,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/11/2014,DC @ SJ,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/2/2014,CHV @ SJ,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/28/2014,LA @ SJ,L 1-0,Subbed On,1,0,0,0,0,0,0,0,0
6/7/2014,SJ @ TOR,L 0-1,Subbed On,21,0,0,1,0,0,0,0,0
5/31/2014,SJ @ DAL,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/25/2014,HOU @ SJ,W 0-3,Subbed On,4,0,0,0,0,1,0,0,0
5/17/2014,SJ @ SEA,L 0-1,Subbed On,2,0,0,0,0,0,0,0,0
5/10/2014,DAL @ SJ,W 1-2,Subbed On,34,0,0,0,0,0,0,0,0
5/7/2014,COL @ SJ,T 0-0,Subbed On,9,0,0,0,0,0,0,0,0
5/3/2014,SJ @ VAN,L 2-3,Started,90,0,0,0,0,2,2,0,0
4/26/2014,CHV @ SJ,W 0-1,Started,90,0,0,2,0,2,0,0,0
4/19/2014,SJ @ COL,T 0-0,Started,90,0,0,1,0,2,1,0,0
4/13/2014,CLB @ SJ,T 1-1,Subbed On,37,0,0,0,0,0,0,0,0
3/29/2014,NE @ SJ,L 2-1,Subbed On,6,0,0,0,0,0,0,0,0
3/22/2014,SJ @ KC,L 0-1,Subbed On,45,0,0,0,0,1,0,0,0
3/15/2014,RSL @ SJ,T 3-3,Subbed On,27,0,0,1,1,1,0,1,0
