POS,AB,SH,RBI,SO
SS,231,1,42,51
3B,27,0,0,2
P,2,1,0,2
2B,45,4,8,5
C,228,3,24,62
OF,447,1,64,128
LF,16,0,7,2
1B,76,0,7,17
SS,207,4,16,51
3B,6,0,2,1
LF,272,1,48,64
C,124,1,15,23
C,384,2,66,90
2B,317,3,36,36
OF,413,2,64,102
C,143,0,36,34
OF,33,0,5,18
C,343,9,38,97
OF,36,0,5,15
OF,193,6,12,24
SS,9,0,0,3
3B,17,0,6,3
OF,373,6,47,109
P,0,0,0,0
OF,256,0,47,63
OF,179,0,30,58
OF,417,2,54,92
C,25,2,1,11
C,3,0,0,2
2B,116,2,11,27
2B,358,0,68,78
SS,41,3,9,11
OF,55,0,2,9
C,6,0,0,1
1B,163,0,20,22
3B,127,4,9,34
C,427,0,62,66
3B,98,0,6,30
C,378,1,42,71
1B,172,0,25,49
OF,33,0,2,6
OF,78,1,5,24
1B,328,0,41,135
OF,385,1,53,92
C,116,2,8,11
SS,502,3,50,134
P,0,0,0,0
C,47,0,6,24
P,1,0,0,1
SS,371,3,44,29
OF,423,7,52,65
3B,62,0,5,10
C,16,1,1,3
OF,12,1,1,6
C,7,0,0,1
C,133,0,13,18
OF,133,0,32,21
OF,295,6,32,73
OF,54,1,2,13
2B,345,0,28,67
SS,13,0,0,2
OF,253,0,17,46
OF,212,0,35,50
SS,132,2,17,45
OF,119,3,14,44
SS,112,0,12,4
C,267,0,37,91
SS,19,0,2,9
OF,103,1,10,29
2B,335,0,28,53
OF,20,0,4,4
C,299,2,51,48
SS,276,1,33,33
OF,351,2,49,66
OF,155,1,10,48
1B,266,0,30,58
OF,111,0,14,42
SS,259,0,29,93
C,71,0,15,9
OF,225,0,30,39
OF,148,4,18,21
OF,196,0,25,48
OF,321,4,41,48
OF,23,0,1,9
OF,104,1,15,16
OF,26,0,2,7
C,115,0,16,49
2B,11,1,0,3
SS,485,1,56,95
1B,247,0,35,36
OF,163,0,16,34
SS,237,1,29,41
P,0,0,0,0
OF,302,0,60,53
P,0,0,0,0
P,0,0,0,0
SS,315,0,38,88
OF,249,0,26,38
OF,304,4,36,57
OF,348,0,44,88
P,0,0,0,0
2B,132,1,15,15
SS,247,4,32,35
C,448,1,63,72
