Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 31,at Mount Ida,"L, 24-21",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 8,at Bridgewater St.,"L, 31-6",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 15,at Framingham St.,"L, 30-0",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 22,Plymouth St.,"W, 23-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 29,at MIT,"L, 28-27",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 6,Salve Regina,"L, 57-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 13,at Nichols,"L, 26-16",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Oct 20,Endicott,"L, 61-15",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 27,Curry,"L, 33-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 3,at Western New Eng.,"L, 38-12",1,0,1,-,-,0,-,-,-,-,-,-,-,-
