Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 22,at Marymount,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Feb 22,at Marymount,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Feb 27,at Gallaudet,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at St. Mary's (Md.),"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at St. Mary's (Md.),"W, 10-5",-,-,-,-,-,-,-,-,-,-,-
Mar 3,at Penn St.-Harrisburg, ,-,-,-,-,-,-,-,-,-,-,-
Mar 8,Penn St.-York, ,-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. Otterbein,"L, 9-5",-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. Otterbein,"L, 10-6",-,-,-,-,-,-,-,-,-,-,-
Mar 16,vs. SUNY Fredonia,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. SUNY Plattsburgh,"L, 13-8",-,-,-,-,-,-,-,-,-,-,-
Mar 19,vs. St. Joseph's (L.I.),"W, 6-0",-,-,-,-,-,-,-,-,-,-,-
Mar 20,vs. Wis.-Platteville,"W, 10-4",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Polytechnic (N.Y.),"W, 10-0",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Polytechnic (N.Y.),"W, 7-5",-,-,-,-,-,-,-,-,-,-,-
Mar 26,at Messiah, ,-,-,-,-,-,-,-,-,-,-,-
Mar 27,Catholic,"L, 14-7",-,-,-,-,-,-,-,-,-,-,-
Apr 1,Washington (Md.),"L, 13-4",-,-,-,-,-,-,-,-,-,-,-
Apr 2,Penn. St.-Mont Alto,"L, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 4,at Washington (Md.),"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 5,Muhlenberg,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 5,Muhlenberg,"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Franklin & Marshall,"W, 11-0",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Franklin & Marshall,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
Apr 8,Johns Hopkins,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 11,Johns Hopkins,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Haverford,"W, 15-2",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Haverford,"L, 8-6",-,-,-,-,-,-,-,-,-,-,-
Apr 16,at Dickinson,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
Apr 18,Dickinson,"W, 7-5",-,-,-,-,-,-,-,-,-,-,-
Apr 19,at Swarthmore,"W, 7-3",0,0,0,-,-,-,0,-,-,-,-
Apr 19,at Swarthmore,"L, 12-6",-,-,-,-,-,-,-,-,-,-,-
Apr 22,Gettysburg,"L, 8-3",0,1,0,-,-,-,0,-,-,-,-
Apr 26,Ursinus,"L, 6-3",0,0,0,-,-,-,0,-,-,-,-
Apr 26,Ursinus,"W, 3-2",0,1,0,-,-,-,0,-,-,-,-
Apr 27,at Gettysburg,"L, 6-4",0,1,0,-,-,-,0,-,-,-,-
Apr 29,Penn St.-York, ,-,-,-,-,-,-,-,-,-,-,-
