GS,MP,DRtg,Tm,BLK%,STL%
0,8:00,112,CHH,0.0,0.0
0,20:00,114,CHH,5.6,0.0
0,4:00,112,CHH,0.0,0.0
0,11:00,105,CHH,0.0,0.0
0,14:00,85,CHH,5.7,0.0
0,8:00,99,CHH,0.0,0.0
0,11:00,126,CHH,0.0,0.0
0,17:00,110,CHH,0.0,3.4
0,17:00,122,CHH,4.3,0.0
0,10:00,106,CHH,0.0,0.0
0,16:00,111,CHH,0.0,0.0
0,17:00,91,CHH,0.0,3.1
0,8:00,109,CHH,0.0,0.0
0,5:00,113,CHH,0.0,0.0
0,13:00,103,CHH,0.0,0.0
0,6:00,105,CHH,0.0,0.0
0,12:00,79,CHH,12.9,4.7
0,10:00,103,CHH,0.0,0.0
0,8:00,117,CHH,0.0,0.0
0,8:00,98,CHH,13.0,0.0
0,17:00,105,CHH,0.0,0.0
1,33:00,87,CHH,0.0,6.3
0,12:00,105,CHH,0.0,0.0
0,18:00,84,CHH,4.3,2.8
0,12:00,111,CHH,6.9,0.0
0,14:00,101,CHH,5.7,0.0
0,23:00,94,CHH,0.0,0.0
0,18:00,149,CHH,0.0,0.0
0,9:00,87,CHH,0.0,0.0
0,4:00,90,CHH,0.0,0.0
0,20:00,98,CHH,0.0,8.0
0,25:00,131,CHH,0.0,0.0
0,19:00,92,CHH,0.0,2.5
0,2:00,126,CHH,0.0,0.0
0,22:00,98,CHH,0.0,4.7
0,10:00,107,CHH,0.0,0.0
