Sr. No,Name,Age,Mats,Balls,Mdns,Runs,Wkts,BB,Ave,4wl,5wl,S. Rate,Econ
1,Abdur Rehman,35 years,1,150.0,3.0,87.0,1.0,1-87,87.00,0,0,150.00,3.48
2,Najaf Shah,31 years,1,84.0,3.0,67.0,0.0,0-67,--,0,0,--,4.79
3,Fidel Edwards,34 years,2,66.0,0.0,65.0,1.0,1-65,65.00,0,0,66.00,5.91
4,Daren Powell,37 years,3,84.0,2.0,61.0,0.0,2-83,--,0,0,--,4.36
5,Omari Banks,33 years,1,78.0,0.0,60.0,0.0,0-60,--,0,0,--,4.62
6,Dave Mohammed,36 years,3,108.0,7.0,49.0,1.0,3-98,49.00,0,0,108.00,2.72
7,Akhtar Ayub,28 years,1,36.0,0.0,46.0,1.0,1-46,46.00,0,0,36.00,7.67
8,Corey Collymore,38 years,4,66.0,2.0,34.0,0.0,3-57,--,0,0,--,3.09
9,Shahid Nazir,38 years,4,66.0,1.0,33.0,1.0,3-42,33.00,0,0,66.00,3.0
10,Dwayne Bravo,32 years,4,60.0,3.0,29.0,1.0,2-33,29.00,0,0,60.00,2.9
11,Mohammad Irshad,32 years,1,51.0,1.0,24.0,1.0,1-24,24.00,0,0,51.00,2.82
12,Tahir Khan,35 years,1,24.0,1.0,17.0,0.0,0-17,--,0,0,--,4.25
13,Mohammad Hafeez,35 years,3, , , , ,1-11,--,0,0,--, 
14,Imran Farhat,33 years,3, , , , , ,--,0,0,--, 
15,Shoaib Malik,34 years,3, , , , ,0-0,--,0,0,--, 
16,Inzamam-ul-Haq,45 years,3, , , , , ,--,0,0,--, 
17,Yasir Hameed,37 years,1, , , , , ,--,0,0,--, 
18,Bazid Khan,34 years,1, , , , , ,--,0,0,--, 
19,Runako Morton,37 years,3, , , , ,0-4,--,0,0,--, 
20,Ramnaresh Sarwan,35 years,3, , , , ,2-70,--,0,0,--, 
