BLK%,GmSc,AST%,Tm,STL%,DRB%,USG%,Age,DRtg
0.0,3.0,27.8,MIN,4.1,0.0,5.2,29-330,125
0.0,0.2,11.9,MIN,0.0,23.6,15.6,30-053,97
0.0,0.3,15.9,MIN,0.0,0.0,0.0,30-046,111
0.0,3.4,20.3,MIN,0.0,0.0,10.7,29-353,112
0.0,1.7,8.4,MIN,3.9,0.0,0.0,30-063,120
0.0,4.3,35.2,MIN,6.3,9.5,7.8,30-018,100
0.0,1.3,20.0,MIN,0.0,0.0,9.3,30-035,113
0.0,9.2,30.7,MIN,1.2,16.5,7.7,29-293,114
0.0,0.0,0.0,MIN,0.0,0.0,0.0,30-030,103
0.0,1.6,16.1,MIN,4.7,5.2,4.0,29-315,86
1.8,6.9,30.7,MIN,1.7,0.0,12.5,29-312,124
0.0,6.6,46.2,MIN,0.0,22.9,10.6,29-326,104
0.0,3.2,27.8,MIN,0.0,16.8,7.5,30-005,106
0.0,10.1,26.4,MIN,3.0,4.5,12.8,29-295,127
0.0,7.7,42.4,MIN,4.7,9.0,4.8,29-355,91
0.0,-1.4,0.0,MIN,0.0,0.0,10.7,30-066,115
2.4,8.3,47.1,MIN,3.9,0.0,6.4,29-346,94
0.0,6.5,36.8,MIN,1.7,14.5,17.5,29-356,116
0.0,12.8,57.6,MIN,2.2,7.0,11.2,29-333,117
0.0,-1.2,0.0,MIN,0.0,43.1,7.5,30-048,105
0.0,2.2,39.6,MIN,0.0,4.4,7.8,29-288,109
0.0,6.3,21.1,MIN,5.7,7.8,6.0,29-328,100
0.0,2.2,19.1,MIN,0.0,10.5,4.1,30-088,137
0.0,6.3,31.5,MIN,5.3,0.0,7.3,30-040,113
0.0,0.7,57.1,MIN,0.0,0.0,10.8,30-008,110
0.0,7.1,16.2,MIN,0.0,7.9,6.2,29-286,124
0.0,0.3,0.0,MIN,0.0,29.3,0.0,30-086,103
0.0,1.4,40.2,MIN,0.0,0.0,4.4,30-064,116
0.0,3.6,0.0,MIN,7.0,17.1,5.1,30-026,111
0.0,-0.5,0.0,MIN,0.0,25.0,15.1,30-089,120
0.0,13.0,31.3,MIN,5.6,7.8,9.5,29-332,111
0.0,-0.1,10.1,MIN,0.0,7.2,4.8,30-045,103
2.0,5.9,30.0,MIN,0.0,7.3,13.8,29-305,114
1.4,5.3,15.2,MIN,2.6,9.5,6.8,29-342,117
