FTM,3FGA,DEF,Reb,3P%
2.1,2.1,2.6,3.4,.733
1.8,4.2,2.4,2.4,.381
1.8,4.2,2.4,2.4,.381
2.0,3.0,2.0,2.0,.667
1.5,3.5,4.0,5.0,.286
-,-,-,-,-
1.2,2.9,2.4,3.1,.450
1.4,1.2,1.6,2.0,.167
0.7,3.5,2.2,2.5,.489
-,-,-,-,-
0.8,3.0,1.9,2.2,.458
2.0,0.0,1.0,2.0,.000
1.0,2.0,3.0,3.0,.667
1.0,4.2,2.6,3.2,.333
1.0,5.0,2.0,3.0,.600
1.0,3.4,2.3,2.5,.492
0.4,3.7,2.1,2.9,.500
0.0,3.0,1.0,1.0,.333
2.8,2.6,1.9,2.2,.429
1.2,3.1,2.2,2.8,.500
1.9,2.6,2.8,3.2,.429
1.4,3.4,2.1,2.6,.457
2.3,3.2,2.3,2.9,.385
2.0,3.2,2.0,2.5,.244
1.0,5.0,3.5,3.8,.450
1.4,3.3,1.9,2.1,.394
1.3,3.5,2.0,2.1,.429
1.2,3.1,2.5,3.1,.468
1.8,4.5,2.8,2.8,.333
2.5,3.2,2.5,3.2,.333
2.3,3.0,2.0,2.5,.167
2.1,3.1,2.4,2.8,.383
1.7,3.3,2.2,2.7,.422
