Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , 
HAVRANEK Radim,CZE,M,06CZE01,45.0,0.0,0.0,82.0,L,1.0,06/11/2006,11.0,CZEOLEKS,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
HAVRANEK Radim,CZE,M,06CZE01,45.0,0.0,0.0,82.0,L,2.0,06/11/2006,11.0,CZEOLEKS,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
HAVRANEK Radim,CZE,M,06CZE03,44.5,0.0,0.0,82.0,L,1.0,07/09/2006,7.0,CZEKONLA,2.50@13.000,58.0
 , , , , , , , , , , , , , , 
HAVRANEK Radim,CZE,M,06CZE03,45.0,0.0,0.0,82.0,L,2.0,07/09/2006,7.0,CZEKONLA,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
HAVRANEK Radim,CZE,M,06CZE05,43.5,0.0,0.0,82.0,L,1.0,08/19/2006,8.0,CZEKRENE,1.50@13.000,58.0
