TOV%,DRB%,eFG%,TRB%,AST%,DRtg,Rk
0.0,0.0,.500,0.0,0.0,125,6
17.0,14.6,.250,13.5,31.6,120,23
 ,0.0, ,0.0,0.0,140,51
33.8,16.3,.400,7.8,7.0,108,27
 ,0.0, ,0.0,100.0,127,50
100.0,0.0, ,0.0,0.0,100,11
34.7,0.0,.000,11.4,0.0,118,9
 ,30.8, ,12.5,0.0,94,43
0.0,0.0,.200,6.6,13.8,134,19
0.0,0.0,1.000,0.0,0.0,103,45
16.8,18.2,.750,12.3,8.9,111,15
 ,32.4, ,15.4,0.0,97,25
0.0,43.1,.000,19.9,0.0,110,35
0.0,0.0,.500,0.0,0.0,123,48
0.0,0.0,.400,8.9,0.0,125,8
 ,100.0, ,40.0,0.0,72,42
100.0,35.6, ,12.8,0.0,115,46
0.0,0.0,.000,0.0,0.0,129,31
100.0,0.0, ,0.0,0.0,108,12
16.7,11.8,.533,7.6,5.8,117,16
0.0,0.0,1.000,0.0,0.0,83,39
50.0,0.0,.000,0.0,0.0,118,37
20.0,24.1,.500,18.0,0.0,105,14
