AVG,SB,Player,Team,SF,2B
0.5,0,E Farris,NBR,0,0
0.284,24,D Fields,ERI,4,27
0.268,1,J Murphy,TRN,2,10
0.328,8,C Chen,AKR,2,10
0.269,10,A Loewen,NH,0,22
0.245,3,R Hague,HAR,2,19
0.325,20,B Burns,HAR,0,4
0.311,5,X Bogaerts,POR,2,12
0.0,0,M Reynolds,BIN,0,0
0.25,12,D Gibson,POR,2,16
0.224,3,J Robbins,ERI,0,26
0.252,0,J Van Ostrand,HAR,0,19
0.291,5,B Britton,BOW,2,12
0.253,12,A Burns,NH,3,19
0.316,5,J Beresford,NBR,3,5
0.253,2,J Head,HAR,0,21
0.245,13,J Parker,RIC,0,18
0.295,0,K Knudson,NBR,1,5
0.273,0,E Zambrano,RIC,0,0
0.163,0,J Talley,NH,0,5
0.177,10,G Ngoepe,ALT,3,10
0.268,1,R Bermudez,POR,1,1
0.235,0,J Suomi,REA,0,0
0.284,7,E Rosario,NBR,2,19
0.22,5,C Paulino,ALT,3,9
0.237,23,S Wilkerson,POR,6,23
0.256,1,A Susac,RIC,2,17
0.273,0,T Joseph,REA,0,1
0.326,24,C Puello,BIN,2,21
0.2,0,M Hernandez,ERI,0,1
0.28,7,N Romero,BOW,2,21
0.272,5,J Rodriguez,BIN,6,30
0.257,4,T Austin,TRN,3,17
0.231,0,C Smith,NBR,3,8
0.217,0,H Garcia,NBR,0,0
0.272,18,J Pirela,TRN,5,27
0.26,1,B Ward,BOW,2,9
0.267,4,J Johnson,HAR,1,7
0.225,12,E Duran,REA,5,19
0.265,1,T Manzella,NH,1,5
0.262,5,K Nolan,NH,4,24
0.254,18,D Maggi,ALT,5,14
0.296,8,G Cecchini,POR,2,14
0.246,0,T Taijeron,BIN,2,18
0.268,31,D Ceciliani,BIN,4,17
0.366,1,G Jacobo,NH,0,8
0.231,5,R Rodriguez,NBR,7,33
0.165,0,M Sobolewski,NBR,2,4
0.167,0,N Spears,AKR,0,1
0.295,0,A Monsalve,AKR,0,4
0.299,0,C Wallace,AKR,2,5
0.21,3,R Schimpf,NH,1,21
0.262,0,O Tejeda,ALT,0,2
0.276,0,J Linares,POR,2,24
0.213,0,A Zazueta,NH,0,8
0.308,0,J Pinto,NBR,0,23
0.228,1,C Stevenson,TRN,2,10
0.2,0,M Skole,HAR,0,1
0.127,1,C Pettit,BOW,1,7
0.192,4,K Brown,ALT,1,3
0.24,11,E Adrianza,RIC,2,12
0.198,3,K Tomlinson,RIC,0,5
0.26,17,P Hissey,POR,3,15
0.264,0,K Dugan,REA,1,12
0.218,4,A Castillo,TRN,1,4
0.226,1,J Gil,TRN,0,2
0.242,0,C Walker,BOW,0,5
0.224,5,D Hood,HAR,5,18
0.169,3,A Morales,NBR,3,6
0.257,0,T Mendonca,REA,0,8
0.193,1,C Jones,ERI,0,3
0.143,0,A Gonzalez,REA,0,1
0.333,0,A Rodriguez,TRN,1,0
0.241,2,M Lemon,ERI,1,8
0.25,0,G Sanchez,TRN,1,6
0.32,0,K Higashioka,TRN,0,3
0.239,1,B Gamel,TRN,0,4
0.196,0,N Reimold,BOW,1,0
0.255,6,A Hanson,ALT,1,4
0.243,0,A Abraham,AKR,1,4
0.2,0,S Drew,POR,1,2
0.338,0,R Segedin,TRN,3,10
0.296,23,J Herrera,RIC,4,37
0.208,0,F Soriano,HAR,0,0
0.216,1,B Greenwell,AKR,0,1
0.244,2,B Boyer,NBR,0,2
0.143,1,D Cid,BOW,0,0
0.275,0,J Aguilar,AKR,7,28
0.263,1,S Stromsmoe,RIC,1,7
0.24,4,T Collins,ERI,5,29
0.303,3,J Horton,BOW,2,20
0.154,1,J Jones,NH,0,0
0.274,14,M Rojas,ALT,4,28
0.299,3,Z Wheeler,BOW,0,5
0.26,7,R Flores,TRN,4,25
0.2,0,J Navarro,RIC,0,4
0.333,0,C Granderson,TRN,0,0
0.251,1,A Baker,BOW,1,13
0.301,24,H Perez,ERI,3,28
0.0,0,C Utley,REA,0,0
0.365,1,H Urrutia,BOW,0,16
0.192,3,B Forsythe,BIN,2,18
0.177,0,S Leon,HAR,1,12
0.246,0,F Pena,BIN,1,6
0.3,20,S Souza Jr.,HAR,4,23
0.333,0,D Ross,POR,0,2
0.236,2,M Sano,NBR,3,15
0.333,0,L Sanz,ERI,0,0
0.19,0,A Lavisky,AKR,0,1
0.222,0,T d'Arnaud,BIN,0,2
0.295,2,T Hanzawa,REA,1,12
0.245,2,J Bonfe,BIN,3,4
0.312,2,W Ibarra,TRN,2,2
0.248,12,A Vasquez,ALT,1,5
0.185,2,J Martinson,HAR,1,3
0.125,0,S Butler,TRN,0,1
0.167,0,A Rosario,POR,1,0
0.247,3,N Medchill,TRN,2,9
0.292,0,R Paulino,BOW,0,0
0.203,1,S Valle,REA,2,15
0.22,16,T Thomas,POR,5,25
0.206,5,R Lucas,BIN,3,12
0.31,1,J Toole,AKR,0,6
0.314,7,J Howard,ALT,0,15
0.27,1,G Urshela,AKR,2,23
0.172,1,M Wagner,RIC,1,5
0.241,8,D Mitchell,REA,1,15
0.254,5,S Nicol,HAR,3,12
0.253,0,K Roller,TRN,2,24
0.15,3,A Pettersen,NBR,0,4
0.5,0,S Turner,NBR,0,0
0.28,0,J Howell,HAR,1,4
0.222,17,Z Collier,REA,2,14
0.2,0,J Lucas,AKR,0,0
0.174,0,S Brown,TRN,1,2
0.286,0,B Harper,HAR,0,0
0.304,4,R Cabrera,ERI,3,22
0.236,6,D Marrero,POR,2,0
0.333,0,G Barber,BOW,0,0
0.249,15,D Muno,BIN,5,27
0.263,12,W Tovar,BIN,2,14
0.429,1,N Natoli,POR,0,1
