GmSc,ORB%,USG%,TOV%,Date,Rk,G,BLK%
7.5,5.8,16.6,14.5,2004-03-09,53,53,0.0
0.9,9.7,26.0,28.6,2003-11-12,8,8,0.0
0.7,0.0,25.5,29.1,2003-12-02,15,15,5.3
0.7,51.1,11.2,0.0,2004-01-25,39,39,0.0
-1.7,0.0,47.5,50.0,2004-03-03,51,51,0.0
-1.6,0.0,9.6,0.0,2003-11-15,10,10,0.0
0.6,0.0,29.6,16.7,2003-11-03,3,3,9.5
0.0,0.0,0.0, ,2003-11-05,4,4,0.0
-1.1,0.0,33.4,0.0,2004-02-22,50,50,0.0
1.9,7.6,3.5,0.0,2004-01-19,36,36,5.0
0.9,0.0,11.7,0.0,2004-02-12,46,46,0.0
4.0,7.4,17.6,28.6,2003-11-10,7,7,7.6
3.0,0.0,11.9,0.0,2003-12-19,24,24,0.0
-1.0,0.0,11.3,100.0,2004-04-04,59,59,0.0
2.1,5.1,14.0,0.0,2003-12-21,25,25,3.0
15.1,25.0,20.4,0.0,2004-04-02,58,58,5.6
8.3,27.4,23.4,13.1,2003-12-07,18,18,6.2
9.9,15.2,37.8,0.0,2003-11-25,13,13,9.4
0.8,23.3,22.8,38.1,2003-11-01,2,2,0.0
-1.6,0.0,8.0,50.0,2004-02-04,42,42,0.0
1.2,0.0,11.7,34.7,2004-04-14,62,62,0.0
15.5,8.1,35.0,0.0,2003-11-26,14,14,0.0
1.5,0.0,48.8,0.0,2004-02-20,49,49,0.0
3.5,7.8,9.8,0.0,2004-03-31,57,57,0.0
12.8,10.0,20.0,0.0,2003-12-12,20,20,6.0
-1.9,0.0,6.4,0.0,2003-11-18,11,11,0.0
1.7,0.0,21.3,0.0,2003-11-21,12,12,0.0
0.3,20.2,27.1,25.0,2004-02-10,45,45,0.0
9.3,9.8,16.8,0.0,2004-01-11,32,32,5.2
