No,Attribute,Iryoku (Power Level),Where to Obtain,MND,ATK,Break,Grade
56,-,A,Craft it,20,1720,373,720.0
42,+40%,C,Craft it,0,650,221,480.0
46,+50%,B,Craft it,15,1250,280,520.0
2,-,B,Item Shop (200G),0,85,20,40.0
7,-,A,Item Shop (2.500G),0,165,48,80.0
44,-,B,Righteous Beheading (7.500TP),15,1100,260,500.0
8,-,C,Item Shop (5.000G),0,225,60, 
27,+50%,B,Craft it,0,455,153,320.0
9,+25%,B,Craft it,2,125,56,80.0
14,+50%,C,Item Shop (10.000G),0,285,68,120.0
48,-,C,Sargatanas Rare Drop,0,1080,239,540.0
23,+35%,B,Convert Reverse Katana,0,550,160,280.0
26,-,B,Righteous Beheading (4.500TP),0,665,180,350.0
58,-,C,Craft it,28,1881,417,417.0
29,+40%,B,Convert Brynhildr,0,650,180,320.0
17,-,A,Righteous Beheading (1.500TP),0,460,144,225.0
19,-,C,Item Shop (35.000G),0,380,125,240.0
47,+50%,A,Item Shop (185.000G),0,1437,337,520.0
18,-,B,Craft it,0,475,140,240.0
3,-,C,Item Shop (200G),0,70,16,40.0
50,+50%,A,Craft it,0,1500,337,520.0
13,+50%,B,Craft it,0,210,76,120.0
52,-,C,Craft it,0,375,273,750.0
30,-,A,Craft it,0,780,216,320.0
25,-,B,Craft It,0,660,192,280.0
6,-,C,Craft it,0,90,33,80.0
