Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
OLSON Diana,USA,F,10W074B,0.0,0.0,0.0,1959.0,L,1.0,W4,07/24/2010,9.0,USAW0463
 , , , , , , , , , , , , , 
OLSON Diana,USA,F,10W074B,0.0,0.0,25.5,1959.0,L,1.0,W4,07/24/2010,2.0,USAW0463
 , , , , , , , , , , , , , 
OLSON Diana,USA,F,10W074B,0.0,1180.0,0.0,1959.0,L,1.0,W4,07/24/2010,4.0,USAW0463
OLSON Diana,USA,F,10M999A,0.0,0.0,0.0,1959.0,L,1.0,W4,08/14/2010,14.0,USAM0156
 , , , , , , , , , , , , , 
OLSON Diana,USA,F,10M999A,0.0,0.0,22.9,1959.0,L,1.0,W4,08/14/2010,3.0,USAM0156
 , , , , , , , , , , , , , 
OLSON Diana,USA,F,10M999A,0.0,1360.0,0.0,1959.0,L,1.0,W4,08/14/2010,7.0,USAM0156
