AB,TEAM,oppOBP,PPF,OBP,SLG
72,SLN,0.315,100,0.325,0.375
678,ATL,0.314,100,0.304,0.361
39,WAS,0.307,102,0.46,0.564
76,DET,0.319,107,0.326,0.329
252,ARI,0.324,102,0.263,0.282
253,OAK,0.321,95,0.256,0.261
523,MIL,0.308,108,0.285,0.419
189,DET,0.323,106,0.299,0.296
209,COL,0.314,121,0.378,0.502
33,OAK,0.31,94,0.419,0.303
85,MIN,0.323,108,0.383,0.412
679,SDN,0.315,94,0.344,0.362
56,CHN,0.329,103,0.343,0.339
237,WAS,0.321,102,0.3,0.409
33,WAS,0.314,100,0.4,0.667
373,MIN,0.321,106,0.334,0.464
209,BAL,0.317,106,0.263,0.335
130,SEA,0.319,88,0.267,0.415
496,ATL,0.314,98,0.243,0.286
884,DET,0.321,103,0.27,0.331
574,CHN,0.309,100,0.305,0.441
121,SDN,0.32,98,0.383,0.512
782,CIN,0.313,101,0.301,0.421
691,ANA,0.319,95,0.312,0.463
146,TEX,0.314,106,0.296,0.411
39,PHI,0.321,98,0.273,0.205
13,NYA,0.288,109,0.438,0.462
2,NYA,0.353,103,0.0,0.0
230,COL,0.303,119,0.374,0.487
139,KCA,0.324,105,0.297,0.374
767,PIT,0.312,95,0.307,0.361
6,TEX,0.311,89,0.571,0.667
151,BOS,0.32,105,0.301,0.391
214,SDN,0.321,94,0.286,0.341
20,TBA,0.298,98,0.409,0.75
372,MIN,0.32,105,0.338,0.392
253,NYA,0.316,102,0.287,0.352
3,NYN,0.277,112,0.0,0.0
848,NYN,0.307,94,0.278,0.362
180,OAK,0.325,100,0.327,0.361
120,SDN,0.315,94,0.338,0.342
777,CIN,0.317,101,0.291,0.39
27,BOS,0.326,106,0.323,0.222
219,HOU,0.323,101,0.381,0.489
112,TOR,0.32,104,0.243,0.304
107,CLE,0.325,101,0.316,0.477
349,MIN,0.32,107,0.296,0.438
108,TOR,0.312,105,0.304,0.389
185,NYN,0.311,98,0.353,0.395
73,ATL,0.312,98,0.3,0.342
83,DET,0.323,105,0.312,0.41
230,TOR,0.321,105,0.328,0.43
326,WAS,0.313,103,0.296,0.34
20,SLN,0.331,107,0.423,0.5
52,WAS,0.324,100,0.268,0.288
391,BAL,0.322,104,0.305,0.389
122,WAS,0.316,100,0.364,0.361
491,MIA,0.315,96,0.356,0.358
19,LAN,0.324,106,0.238,0.368
625,BOS,0.319,105,0.337,0.438
43,WAS,0.321,100,0.255,0.372
144,CHN,0.321,104,0.386,0.472
138,BAL,0.32,107,0.329,0.326
711,BOS,0.319,104,0.33,0.426
314,OAK,0.325,95,0.28,0.35
19,HOU,0.3,98,0.19,0.421
116,MIN,0.315,105,0.267,0.405
148,TOR,0.325,105,0.315,0.385
252,LAN,0.331,93,0.281,0.278
239,KCA,0.315,103,0.346,0.469
