Country,Area Harvested(COTTON) (1000 HA),Seed to Lint Ratio (RATIO),Beginning Stocks (1000 MT),Production (1000 MT),MY Imports (1000 MT),MY Imp. from U.S. (1000 MT),TOTAL SUPPLY (1000 MT),MY Exports (1000 MT),Crush Dom. Consumption (1000 MT),Food Use Dom. Consump. (1000 MT),Feed;Seed;Waste Dm.Cm. (1000 MT),TOTAL Dom. Consumption (1000 MT),Ending Stocks (1000 MT),TOTAL DISTRIBUTION (1000 MT)
Argentina,580,154,42,430,5,0,477,0,320,0,100,420,57,477
Armenia; Republic of,0,0,0,0,15,0,15,0,15,0,0,15,0,15
Australia,282,0,0,724,0,0,724,160,469,0,85,554,10,724
Azerbaijan; Republic of,245,0,0,311,0,0,311,40,162,0,109,271,0,311
Benin,150,0,0,112,0,0,112,78,21,0,13,34,0,112
Brazil,"1,969",0,0,"1,190",0,0,"1,190",0,970,0,220,"1,190",0,"1,190"
Burkina,170,0,0,110,0,0,110,3,99,0,8,107,0,110
Burma; Union of,172,0,0,47,0,0,47,0,47,0,0,47,0,47
Cameroon,100,0,0,113,0,0,113,11,89,0,13,102,0,113
Chad,210,0,0,118,0,0,118,0,107,0,11,118,0,118
China; Peoples Republic of,"6,539",0,0,"9,660",4,0,"9,664",15,"7,781",0,"1,868","9,649",0,"9,664"
Cote d''Ivoire,190,"8,778",0,130,4,0,134,2,115,0,17,132,0,134
Egypt,358,"6,450",0,443,0,0,443,0,360,0,83,443,0,443
EU-15,310,0,0,494,109,0,603,24,308,0,259,567,12,603
India,"7,661",0,0,"3,965",0,0,"3,965",0,"2,965",0,"1,000","3,965",0,"3,965"
Indonesia,19,0,0,6,0,0,6,6,0,0,0,0,0,6
Iran,207,0,0,160,0,0,160,0,130,0,30,160,0,160
Japan,0,0,2,0,182,0,184,0,38,0,144,182,2,184
Kazakhstan; Republic of,117,0,0,165,20,0,185,0,157,0,28,185,0,185
Korea; Republic of,1,0,0,1,8,0,9,0,9,0,0,9,0,9
Kyrgyzstan; Republic of,26,0,0,34,35,0,69,0,57,0,12,69,0,69
Madagascar,20,0,0,35,0,0,35,3,30,0,2,32,0,35
Mali,215,0,0,195,0,0,195,6,180,0,9,189,0,195
Mexico,249,0,17,382,178,135,577,0,482,0,35,517,60,577
Mozambique,86,0,0,26,0,0,26,0,20,0,6,26,0,26
Nigeria,430,65,5,120,0,0,125,2,93,0,25,118,5,125
Pakistan,"2,836",2,0,"4,355",0,0,"4,355",0,"3,702",0,653,"4,355",0,"4,355"
Paraguay,480,"1,673",0,255,4,1,259,0,215,0,44,259,0,259
Saudi Arabia,0,0,0,0,12,3,12,0,0,0,12,12,0,12
South Africa; Republic of,79,0,0,42,21,0,63,0,55,0,8,63,0,63
Sudan,192,0,0,190,0,0,190,7,170,0,13,183,0,190
Syria,170,0,0,364,0,0,364,12,307,0,45,352,0,364
Tajikistan; Republic of,298,0,0,445,0,0,445,80,345,0,20,365,0,445
Tanzania; United Republic of,450,0,0,171,0,0,171,0,166,0,5,171,0,171
Togo,80,0,0,95,0,0,95,10,60,0,25,85,0,95
Turkey,599,0,2,878,12,0,892,0,830,0,60,890,2,892
Turkmenistan,602,0,0,777,35,0,812,213,590,0,9,599,0,812
Uganda,134,0,0,28,0,0,28,1,26,0,1,27,0,28
United States,"5,245",0,591,"6,283",2,0,"6,876",146,"3,613",0,"2,700","6,313",417,"6,876"
Uzbekistan; Republic of,"1,720",0,0,"2,600",20,0,"2,620",0,"2,550",0,70,"2,620",0,"2,620"
Zimbabwe,240,0,0,38,0,0,38,0,28,0,10,38,0,38
