USG%,G,eFG%,Age
18.4,19,.500,30-112
20.6,69,.500,30-215
6.3,45,1.000,30-170
18.8,53,.286,30-184
14.0,14,.000,30-101
14.0,63,.800,30-204
13.3,37,.429,30-148
26.0,55,.500,30-188
11.0,12,.000,30-095
19.8,76,.500,30-228
13.1,18,.500,30-109
19.6,43,.333,30-162
18.7,46,.833,30-171
10.9,40,.000,30-157
9.2,58,.000,30-194
10.5,32,.857,30-140
9.1,31,.500,30-137
29.7,8,.600,30-081
11.8,22,.500,30-118
22.8,68,.833,30-213
8.5,30,1.000,30-136
15.1,47,.000,30-173
25.3,56,.583,30-190
16.2,6,.000,30-077
10.8,5,.000,30-075
10.5,9, ,30-085
16.2,73,.000,30-222
14.8,4,.500,30-073
4.2,26,.000,30-127
18.7,54,.167,30-186
9.4,59,.250,30-196
23.4,64,1.000,30-206
4.4,7,.000,30-078
19.9,29,1.000,30-134
4.3,11, ,30-092
12.9,28,.667,30-133
18.3,66,.000,30-209
12.9,48,.500,30-175
