eFG%,ORtg,TRB%,Tm,STL%,BLK%,TS%
.667,63,4.5,NJN,6.2,0.0,.667
.000,83,8.0,NJN,2.1,2.6,.266
.000,56,3.7,NJN,0.0,0.0,.266
.200,91,27.5,NJN,0.0,8.1,.184
.667,164,15.5,NJN,0.0,4.8,.667
.000,119,15.1,NJN,0.0,0.0,.174
.000,38,13.4,NJN,0.0,2.5,.000
 ,244,6.4,NJN,0.0,8.7,1.136
.500,59,17.0,NJN,0.0,0.0,.500
.500,78,10.0,NJN,0.0,3.6,.500
1.000,77,12.0,NJN,0.0,0.0,1.042
.000,0,0.0,NJN,0.0,0.0,.000
.000,31,10.5,NJN,0.0,0.0,.000
.400,103,11.0,NJN,2.9,1.8,.518
.000,0,23.9,NJN,0.0,8.9,.000
 ,74,8.8,NJN,0.0,0.0, 
.750,98,1.9,NJN,0.0,0.0,.678
1.000,116,12.6,NJN,2.0,3.4,.625
 ,0,6.8,NJN,0.0,2.6, 
 ,233,10.4,NJN,0.0,0.0, 
.000,77,11.8,NJN,2.1,0.0,.000
.000,31,0.0,NJN,4.8,0.0,.133
.333,75,13.6,NJN,2.0,3.5,.387
.000,37,11.3,NJN,2.7,0.0,.129
.000,43,3.0,NJN,0.0,0.0,.000
.333,117,12.9,NJN,2.8,0.0,.333
 ,240,13.0,NJN,0.0,7.9, 
.500,122,7.8,NJN,0.0,4.4,.452
.000,64,9.4,NJN,0.0,0.0,.000
.500,79,5.6,NJN,0.0,0.0,.500
 ,216,0.0,NJN,0.0,0.0, 
 , ,3.0,NJN,0.0,0.0, 
 ,44,18.1,NJN,0.0,0.0,.000
.667,132,11.8,NJN,0.0,0.0,.673
.000,26,7.8,NJN,4.0,0.0,.000
