SB,ASG,To,SO,CS,From
0.0,0,1987,92.0,0.0,1982
0.0,0,1990,11.0,0.0,1984
0.0,0,1980,2.0,0.0,1980
1.0,0,1945,22.0, ,1945
0.0,0,1967,2.0,0.0,1966
0.0,0,1997,7.0,0.0,1990
65.0,0,1932,153.0,1.0,1921
0.0,0,1915,4.0,0.0,1915
0.0,0,2015,46.0,1.0,2015
13.0,1,2000,929.0,4.0,1986
0.0,0,1966,2.0,0.0,1965
0.0,0,1935,1.0,0.0,1935
0.0,0,2006,0.0,0.0,2006
15.0,0,1935,107.0,12.0,1927
0.0,0,1982,4.0,0.0,1978
0.0,0,1963,2.0,0.0,1963
0.0,0,2014,0.0,0.0,2012
0.0,0,1995,4.0,0.0,1985
4.0,0,1991,43.0,1.0,1987
0.0,0,2015,19.0,0.0,2014
0.0,1,1987,0.0,0.0,1980
2.0,0,1963,140.0,0.0,1955
0.0,0,1936,26.0, ,1928
16.0,0,2015,568.0,9.0,2004
1.0,0,2015,314.0,4.0,2013
0.0,0,1993,9.0,0.0,1990
0.0,0,1991,1.0,0.0,1988
2.0,0,2010,150.0,1.0,2005
123.0,2,2010,418.0,45.0,2001
1.0,0,2009,113.0,0.0,2001
103.0,2,1996,987.0,62.0,1986
1.0,0,1991,25.0,1.0,1990
0.0,0,2000,8.0,0.0,1988
0.0,0,1998,0.0,0.0,1998
39.0,4,1956,385.0,33.0,1947
