USG%,GmSc,ORB%,Age
0.0,0.7,0.0,30-177
18.3,2.0,0.0,30-210
25.0,5.0,50.5,30-150
21.2,1.6,10.9,30-145
14.8,10.3,0.0,30-068
21.1,7.4,0.0,30-194
17.3,2.6,0.0,30-223
9.9,3.5,6.1,30-075
12.4,2.2,0.0,30-063
23.6,1.9,29.1,30-208
12.5,1.1,11.1,30-079
20.0,5.7,24.2,30-089
18.1,3.0,11.9,30-179
17.1,3.5,0.0,30-109
11.7,0.3,0.0,30-117
11.7,9.2,0.0,30-149
25.5,3.4,13.4,30-084
26.5,9.6,5.7,30-164
26.9,11.5,18.7,30-173
7.0,-1.0,0.0,30-119
17.0,8.5,21.3,30-108
27.3,-0.3,37.9,30-184
19.7,2.0,0.0,30-069
28.1,6.0,6.9,30-140
18.5,2.0,15.0,30-168
28.1,-1.2,18.6,30-132
25.1,3.9,17.1,30-206
13.9,9.7,10.7,30-198
10.6,0.5,10.0,30-105
9.8,3.7,0.0,30-090
13.0,-3.0,9.5,30-076
16.2,18.4,18.4,30-189
14.3,5.6,6.1,30-056
22.6,4.8,9.9,30-081
20.2,-0.5,0.0,30-072
46.0,1.7,0.0,30-170
