Name,Pos,Location,Ht,Wt,40,Stars,Rivals Rating,Committed,Videos,Pos Rank,State Rank,Visit Date,Recruited By
Kanler Coker 3 stars,QB,"Flowery Branch, GAFlowery Branch","6'4""",205,4.73,3 stars,5.6,01/17/2012,1 video, , ,01/27/2012,Blake Anderson
Kedrick Davis 3 stars,ATH,"Charlotte, NCPhillip O Berry Acad Of Tech","5'10""",165,4.45,3 stars,5.6,06/11/2011,1 video,46.0,25.0,10/28/2011,Gunter Brewer
Quinshad Davis 4 stars,WR,"Gaffney, SCGaffney","6'3""",180,0.0,4 stars,5.8,02/01/2012,12 videos,34.0,2.0,01/20/2012,Gunter Brewer
John Ferranto 2 stars,OL,"Burlington, NJBurlington Township","6'6""",270,0.0,2 stars,5.4,07/03/2011, , , ,01/13/2012,Chris Kapilovic
Junior Gnonkonde 3 stars,DE,"Lakeland, GALanier County","6'5""",225,0.0,3 stars,5.7,01/29/2012,1 video,39.0,45.0,01/27/2012,"Vic Koenning, Deke Adams"
Clinton Heaven 3 stars,DB,"Bradenton, FLManatee","6'0""",192,0.0,3 stars,5.7,01/19/2012,1 video,30.0,70.0,01/20/2012,Dan Disch
Jon Heck 3 stars,OL,"Jacksonville, FLBolles","6'6""",280,0.0,3 stars,5.5,06/30/2011, , , ,01/13/2012,Chris Kapilovic
Joseph Jackson 3 stars,LB,"Jacksonville, FLFirst Coast","6'2""",210,4.59,3 stars,5.6,11/07/2011,1 video,64.0, ,10/28/2011,"Dan Disch, David Duggan"
Tyreece Jiles 3 stars,DB,"Cape Coral, FLCape Coral","5'11""",165,0.0,3 stars,5.6,11/09/2011,1 video,50.0,97.0,09/16/2011,Dan Disch
Terrance Knox 3 stars,TE,"Concord, NCConcord","6'2""",240,0.0,3 stars,5.6,06/01/2011,3 videos, ,30.0,10/14/2011,"Gunter Brewer, Walt Bell"
Dan Mastromatteo 3 stars,LB,"Absecon, NJHoly Spirit","6'2""",215,4.6,3 stars,5.6,08/05/2011,1 video, ,20.0,10/07/2011,"Vic Koenning, David Duggan"
J.J. Patterson 4 stars,OL,"Roanoke Rapids, NCRoanoke Rapids","6'4""",310,5.0,4 stars,5.8,04/09/2011,2 videos,14.0,11.0,01/13/2012,"Chris Kapilovic, Deke Adams"
Caleb Peterson 3 stars,OL,"Auburn, ALAuburn","6'4""",295,0.0,3 stars,5.7,01/19/2012,4 videos,45.0,15.0,01/13/2012,Chris Kapilovic
Shakeel Rashad 3 stars,LB,"Jacksonville, FLEpiscopal High School","6'2""",213,4.7,3 stars,5.7,02/03/2011,4 videos,39.0,52.0,10/28/2011,"Dan Disch, David Duggan"
Jessie Rogers 3 stars,DE,"Arlington, TXBowie","6'4""",240,4.72,3 stars,5.5,09/18/2011,1 video, , ,09/16/2011,Deke Adams
Malik Simmons 3 stars,DB,"Lehigh Acres, FLLehigh","5'11""",180,0.0,3 stars,5.6,10/31/2011,1 video,57.0, ,10/14/2011,Dan Disch
Kendrick Singleton 3 stars,WR,"Glen St. Mary, FLBaker County","6'3""",200,4.57,3 stars,5.6,01/28/2012,1 video, , ,01/27/2012,"Gunter Brewer, Walt Bell"
Nathan Staub 3 stars,RB,"Buford, GABuford","6'2""",210,0.0,3 stars,5.5,11/15/2011,2 videos, , ,09/16/2011,"Vic Koenning, David Duggan"
James Summers 4 stars,QB,"Greensboro, NCPage","6'3""",205,0.0,4 stars,5.8,01/26/2012,7 videos,8.0,9.0,01/20/2012,Blake Anderson
Monte Taylor 2 stars,TE,"Springdale, MDFlowers","6'3""",235,0.0,2 stars,5.3,01/29/2012,1 video, , ,01/27/2012,Deke Adams
Justin Thomason 3 stars,DE,"McDonough, GAEagle's Landing Christian","6'4""",240,4.68,3 stars,5.5,01/22/2012,2 videos, , ,01/20/2012,Deke Adams
Damien Washington 3 stars,ATH,"Kannapolis, NCBrown","6'1""",180,4.5,3 stars,5.5,08/10/2011,1 video, , ,01/27/2012,Gunter Brewer
Phillip Williamson 3 stars,LB,"Durham, NCJordan","6'3""",208,4.49,3 stars,5.7,05/19/2011,2 videos,37.0,16.0,01/20/2012,David Duggan
