Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 7,Augsburg,"L, 51-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 14,Macalester,"W, 20-10",2,0,2,-,-,0,-,-,-,-,-,-,-,-
Sep 21,at Trine,"L, 47-41",1,2,3,-,-,0,-,-,-,-,-,-,-,-
Oct 5,Benedictine,"W, 28-27",2,2,4,-,-,0,-,-,-,-,-,-,-,-
Oct 12,at Maranatha Baptist,"W, 70-14",1,2,3,-,-,0,-,-,-,-,-,-,-,-
Oct 19,at Concordia Chicago,"W, 48-42",6,1,7,-,-,0,-,-,-,-,-,-,-,-
Oct 26,Lakeland,"W, 45-28",4,2,6,-,-,0,-,-,-,-,-,1,-,-
Nov 2,at Rockford,"W, 55-13",2,0,2,-,-,0,-,-,-,-,-,-,-,-
Nov 9,Aurora,"W, 49-41",10,6,16,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at Wisconsin Lutheran,"W, 58-31",4,1,5,-,-,0,-,-,-,-,-,1,-,-
Nov 23,at UW-Platteville,"L, 54-20",5,3,8,-,-,0,-,-,-,-,-,-,-,-
