TS%,BLK%,Date,GS,DRB%,AST%,GmSc
.551,0.0,1989-12-02,0,22.2,35.6,5.1
1.000,0.0,1989-11-24,0,0.0,0.0,2.3
.000,0.0,1989-11-22,0,0.0,0.0,-0.4
.250,0.0,1990-02-22,0,17.8,9.2,0.5
 ,0.0,1989-11-26,0,0.0,0.0,-3.2
.266,0.0,1990-03-05,0,32.0,7.6,0.0
.000,0.0,1990-03-24,0,20.0,0.0,-1.9
.500,0.0,1990-03-30,0,25.9,0.0,-0.9
.000,0.0,1990-01-09,0,0.0,0.0,-1.7
.000,0.0,1990-03-28,0,44.4,0.0,0.3
.000,0.0,1990-03-26,0,30.8,0.0,-1.8
.500,0.0,1990-02-23,0,6.9,6.7,2.9
.266,0.0,1990-04-06,0,21.8,0.0,-2.1
.773,0.0,1989-11-03,0,0.0,0.0,0.9
.560,0.0,1989-11-07,0,8.6,0.0,6.4
1.000,0.0,1990-03-18,0,0.0,42.9,2.4
