Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Garin Cecchini,Gre,325,66,110,32,3,4,49,37,3,48,62,0.338,0.423,0.492,0.916
Xander Bogaerts,PorSal,365,57,117,30,3,14,61,4,3,27,77,0.321,0.377,0.534,0.911
Jackie Bradley,PorSal,329,63,104,30,3,5,41,19,7,71,58,0.316,0.438,0.471,0.909
Mauro Gomez,Paw,267,45,82,25,1,11,42,1,0,26,59,0.307,0.375,0.532,0.907
Travis Shaw,PorSal,323,54,91,29,3,12,58,9,2,61,87,0.282,0.397,0.502,0.899
Keury De La Cruz,SalGre,370,55,112,28,4,18,71,11,4,15,80,0.303,0.335,0.546,0.881
J.C. Linares,PawPor,322,43,102,23,2,11,49,0,0,19,54,0.317,0.361,0.503,0.864
Michael Almanzar,Sal,351,47,110,27,0,10,42,9,3,27,61,0.313,0.37,0.476,0.846
Reynaldo Rodriguez,PawPor,278,39,73,24,3,12,42,6,2,31,74,0.263,0.341,0.5,0.841
Jeremy Hazelbaker,PawPor,322,55,89,17,4,14,44,31,8,30,90,0.276,0.352,0.484,0.836
Manuel Margot,DSL,174,33,47,9,3,4,34,27,8,21,12,0.27,0.371,0.425,0.796
Lars Anderson,Paw,248,37,64,16,2,7,38,1,0,43,65,0.258,0.365,0.423,0.789
Dan Butler,PawPor,248,29,63,15,2,7,28,0,0,32,48,0.254,0.353,0.415,0.768
Marquez Smith,Por,204,27,56,18,1,4,22,2,0,14,43,0.275,0.327,0.431,0.759
Alex Hassan,Paw,236,31,65,8,0,5,36,1,1,38,48,0.275,0.386,0.373,0.759
Drew Hedman,PorSal,203,31,46,13,2,7,31,7,1,36,64,0.227,0.344,0.414,0.758
Bryce Brentz,PawPor,349,44,98,25,1,6,46,5,4,29,105,0.281,0.34,0.41,0.75
Ryan Lavarnway,Paw,246,39,67,14,0,7,32,0,0,22,50,0.272,0.333,0.415,0.748
Boss Moanaroa,Gre,281,38,73,14,1,3,36,1,1,67,87,0.26,0.395,0.349,0.744
Adalberto Ibarra,Sal,205,26,57,15,1,0,22,4,4,29,33,0.278,0.379,0.361,0.74
Nate Spears,Paw,255,34,62,12,4,6,30,3,0,36,60,0.243,0.341,0.392,0.733
Jose Garcia,Gre,258,46,66,11,2,6,28,18,7,34,65,0.256,0.346,0.384,0.729
Pedro Ciriaco,Paw,203,26,59,11,2,4,18,10,5,3,37,0.291,0.304,0.424,0.728
Jose Vinicio,GreLow,191,32,57,4,2,3,26,12,10,11,39,0.298,0.34,0.387,0.727
Blake Swihart,Gre,262,36,71,14,4,5,40,4,0,17,54,0.271,0.309,0.412,0.721
