RBI,R,2B,Team,CS,SH,SO,C-G#
3,0,1,BAL,0,0,0,1621
0,3,0,CHA,0,0,0,2045
0,2,0,BAL,0,0,0,1180
0,0,0,BOS,0,0,0,2381
0,3,0,BOS,0,0,0,2306
0,3,0,BAL,0,0,0,1531
2,1,0,CHA,0,0,0,32
2,0,0,CHA,0,0,0,1915
2,2,0,BOS,0,0,0,2573
0,4,0,CHA,0,0,0,626
0,1,0,BAL,0,0,0,1230
1,2,0,BAL,0,0,0,1339
0,1,0,CHA,0,0,0,364
0,4,0,BAL,0,0,0,1571
2,2,0,CHA,0,0,0,512
0,0,0,CHA,0,0,0,853
0,1,0,CHA,0,0,0,2000
0,4,1,CHA,0,0,0,859
1,0,1,CHA,0,0,0,983
4,4,0,CHA,0,0,0,450
2,3,0,BAL,0,0,0,1557
2,1,0,CHA,0,0,0,1872
0,0,0,CHA,0,0,0,1
2,2,1,CHA,0,0,0,851
4,3,1,BAL,0,0,0,1353
6,2,1,BOS,0,0,1,2237
2,1,1,CHA,0,0,0,1969
3,1,0,BOS,0,0,0,2390
2,0,0,BOS,0,0,0,2502
0,1,1,CHA,1,0,0,1802
1,1,0,CHA,1,0,0,238
1,1,0,CHA,0,0,1,29
4,2,0,CHA,0,0,0,282
0,2,0,CHA,0,0,0,392
2,3,0,CHA,0,0,0,144
5,2,0,BOS,0,0,0,2351
2,0,1,CHA,0,0,0,816
0,1,0,CHA,0,0,1,500
