Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Dustin Pedroia,Bos,154,626,115,185,48,1,15,72,20,8,74,45,0.296,0.371,0.447,0.819
Jacoby Ellsbury,Bos,153,624,94,188,27,10,8,60,70,12,49,74,0.301,0.355,0.415,0.77
David Ortiz,Bos,150,541,77,129,35,1,28,99,0,2,74,134,0.238,0.332,0.462,0.794
Jason Bay,Bos,151,531,103,142,29,3,36,119,13,3,94,162,0.267,0.384,0.537,0.921
Kevin Youkilis,Bos,136,491,99,150,36,1,27,94,7,2,77,125,0.305,0.413,0.548,0.961
J.D. Drew,Bos,137,452,84,126,30,4,24,68,2,6,82,109,0.279,0.392,0.522,0.914
Mike Lowell,Bos,119,445,54,129,29,1,17,75,2,1,33,61,0.29,0.337,0.474,0.811
Jason Varitek,Bos,109,364,41,76,24,0,14,51,0,0,54,90,0.209,0.313,0.39,0.703
Nick Green,Bos,103,276,35,65,18,0,6,35,1,4,20,69,0.236,0.303,0.366,0.669
Victor Martinez,Bos,56,211,32,71,12,0,8,41,1,0,24,23,0.336,0.405,0.507,0.912
Rocco Baldelli,Bos,62,150,23,38,4,1,7,23,1,0,11,37,0.253,0.311,0.433,0.744
Alex Gonzalez,Bos,44,148,26,42,10,0,5,15,2,0,5,29,0.284,0.316,0.453,0.769
Julio Lugo,Bos,37,109,16,31,4,1,1,8,3,0,12,18,0.284,0.352,0.367,0.719
George Kottaras,Bos,45,93,15,22,11,0,1,10,0,0,11,25,0.237,0.308,0.387,0.696
Casey Kotchman,Bos,39,87,9,19,3,0,1,7,1,0,7,14,0.218,0.284,0.287,0.572
Jeff Bailey,Bos,26,77,14,16,3,2,3,9,0,0,10,21,0.208,0.33,0.416,0.745
Mark Kotsay,Bos,27,74,4,19,2,0,1,5,2,1,4,12,0.257,0.291,0.324,0.615
Jed Lowrie,Bos,32,68,5,10,2,0,2,11,0,0,6,20,0.147,0.211,0.265,0.475
Josh Reddick,Bos,27,59,5,10,4,0,2,4,0,0,2,17,0.169,0.21,0.339,0.549
Adam LaRoche,Bos,6,19,2,5,2,0,1,3,0,0,0,2,0.263,0.263,0.526,0.789
Brian Anderson,Bos,21,17,7,5,0,0,2,5,0,0,3,5,0.294,0.381,0.647,1.028
Joey Gathright,Bos,17,16,7,5,0,0,0,0,1,0,1,2,0.313,0.353,0.313,0.665
Chris Woodward,Bos,13,12,0,1,0,0,0,0,0,0,2,4,0.083,0.313,0.083,0.396
Jonathan Van Every,Bos,7,11,1,4,0,0,1,3,0,0,2,5,0.364,0.462,0.636,1.098
Aaron Bates,Bos,5,11,2,4,2,0,0,2,0,0,1,4,0.364,0.417,0.545,0.962
