SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1984 - 1985,New York Islanders,NHL,80,40,6,34,-,-,345,312,86,9,Conference SF loss
1985 - 1986,New York Islanders,NHL,80,39,12,29,-,-,327,284,90,5,Conference QF loss
1986 - 1987,New York Islanders,NHL,80,35,12,33,-,-,279,281,82,9,Conference SF loss
1987 - 1988,New York Islanders,NHL,80,39,10,31,-,-,308,267,88,6,Conference QF loss
1988 - 1989,New York Islanders,NHL,80,28,5,47,-,-,265,325,61,20,Did not make playoffs
1989 - 1990,New York Islanders,NHL,80,31,11,38,-,-,281,288,73,16,Conference QF loss
1990 - 1991,New York Islanders,NHL,80,25,10,45,-,-,223,290,60,19,Did not make playoffs
1991 - 1992,New York Islanders,NHL,80,34,11,35,-,-,291,299,79,14,Did not make playoffs
1992 - 1993,New York Islanders,NHL,84,40,7,37,-,-,335,297,87,13,Conference Final loss
1993 - 1994,New York Islanders,NHL,84,36,12,36,-,-,282,264,84,15,Conference QF loss
1994 - 1995,New York Islanders,NHL,48,15,5,28,-,-,126,158,35,25,Did not make playoffs
1995 - 1996,New York Islanders,NHL,82,22,10,50,-,-,229,315,54,24,Did not make playoffs
1996 - 1997,New York Islanders,NHL,82,29,12,41,-,-,240,250,70,22,Did not make playoffs
1997 - 1998,New York Islanders,NHL,82,30,11,41,-,-,212,225,71,19,Did not make playoffs
1998 - 1999,New York Islanders,NHL,82,24,10,48,-,-,194,244,58,25,Did not make playoffs
1999 - 2000,New York Islanders,NHL,82,24,9,48,-,1,194,275,58,26,Did not make playoffs
2000 - 2001,New York Islanders,NHL,82,21,7,51,-,3,185,268,52,30,Did not make playoffs
2001 - 2002,New York Islanders,NHL,82,42,8,28,-,4,239,220,96,8,Conference QF loss
2002 - 2003,New York Islanders,NHL,82,35,11,34,-,2,224,231,83,16,Conference QF loss
2003 - 2004,New York Islanders,NHL,82,38,11,29,-,4,237,210,91,15,Conference QF loss
2005 - 2006,New York Islanders,NHL,82,36,-,40,-,6,230,278,78,24,Did not make playoffs
2006 - 2007,New York Islanders,NHL,82,40,-,30,-,12,248,240,92,17,Conference QF loss
2007 - 2008,New York Islanders,NHL,82,35,-,38,-,9,194,243,79,26,Did not make playoffs
2008 - 2009,New York Islanders,NHL,82,26,-,47,-,9,201,279,61,30,Did not make playoffs
2009 - 2010,New York Islanders,NHL,82,34,-,37,-,11,222,264,79,26,Did not make playoffs
2010 - 2011,New York Islanders,NHL,82,30,-,39,-,13,229,264,73,27,Did not make playoffs
2011 - 2012,New York Islanders,NHL,82,34,-,37,-,11,203,255,79,27,Did not make playoffs
2012 - 2013,New York Islanders,NHL,48,24,-,17,-,7,139,139,55,8,Conference QF loss
2013 - 2014,New York Islanders,NHL,82,34,-,37,-,11,225,267,79,8,Did not make playoffs
2014 - 2015,New York Islanders,NHL,82,47,-,28,-,7,252,230,101,3,Conference QF loss
