Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,G,FG,PCG,PSG,LCG,GC,YC,RC
1976 Summer,25,Montréal,Hockey,India,IND,Final Standings, ,7,1976-07-18, ,0,0,0,0,0,0,0,0
1976 Summer,25,Montréal,Hockey,India,IND,Final Round,Match 7/8,1,1976-07-30,"IND 2, MAS 0",0,0,0,0,0,0,0,0
1976 Summer,25,Montréal,Hockey,India,IND,Classification Round 5-8,Match #2,2,1976-07-29,"FRG 3, IND 2",0,0,0,0,0,0,0,0
1976 Summer,25,Montréal,Hockey,India,IND,Group A,Match #9,1,1976-07-22,"IND 3, CAN 0",0,0,0,0,0,0,0,0
1976 Summer,25,Montréal,Hockey,India,IND,Group A,Match #13,1,1976-07-24,"IND 3, MAS 0",0,0,0,0,0,0,0,0
1980 Summer,29,Moskva,Hockey,India,IND,Final Standings, ,1,1980-07-20, ,5,0,1,2,2,0,0,0
1980 Summer,29,Moskva,Hockey,India,IND,Final Round,Match 1/2,1,1980-07-29,"IND 4, ESP 3",0,0,0,0,0,0,0,0
1980 Summer,29,Moskva,Hockey,India,IND,Round-Robin,Match #2,1,1980-07-20,"IND 18, TAN 0",4,0,1,2,1,0,0,0
1980 Summer,29,Moskva,Hockey,India,IND,Round-Robin,Match #6,1T,1980-07-21,"POL 2, IND 2",0,0,0,0,0,0,0,0
1980 Summer,29,Moskva,Hockey,India,IND,Round-Robin,Match #8,1T,1980-07-23,"IND 2, ESP 2",0,0,0,0,0,0,0,0
1980 Summer,29,Moskva,Hockey,India,IND,Round-Robin,Match #10,1,1980-07-24,"IND 13, CUB 0",1,0,0,0,1,0,0,0
1980 Summer,29,Moskva,Hockey,India,IND,Round-Robin,Match #14,1,1980-07-26,"IND 4, URS 2",0,0,0,0,0,0,0,0
