ORB%,ORtg,Date,STL%,Tm
15.0,142,2009-11-14,0.0,ATL
0.0,167,2010-03-24,6.6,ATL
24.0,192,2009-12-11,0.0,ATL
30.0,146,2010-01-29,3.7,ATL
11.0,82,2009-11-06,0.0,ATL
0.0,0,2009-11-27,0.0,ATL
21.8,209,2010-03-13,0.0,ATL
0.0,95,2009-12-19,9.2,ATL
21.7,130,2010-01-06,3.5,ATL
25.0,103,2009-11-11,0.0,ATL
8.3,168,2010-03-26,0.0,ATL
5.7,114,2009-11-18,0.0,ATL
0.0,168,2009-10-30,6.0,ATL
22.0,216,2010-02-05,0.0,ATL
0.0,34,2010-01-25,0.0,ATL
0.0,200,2010-01-11,8.2,ATL
0.0,121,2009-12-23,0.0,ATL
12.2,69,2009-11-26,0.0,ATL
27.4,52,2009-11-20,0.0,ATL
8.6,38,2010-02-21,0.0,ATL
17.2,223,2010-02-26,0.0,ATL
22.6,137,2010-02-28,7.5,ATL
30.8,57,2010-03-06,0.0,ATL
8.1,94,2009-12-09,3.3,ATL
0.0,82,2010-01-30,0.0,ATL
6.9,87,2009-10-28,0.0,ATL
15.1,93,2010-04-03,0.0,ATL
16.8,84,2010-03-21,0.0,ATL
0.0,65,2009-12-29,5.9,ATL
23.3,114,2009-12-13,0.0,ATL
