wp,ip,hbp,3b,bb,2b,Opponent
0,7.0,0,0,1,0,Anderson
1,7.0,1,0,5,2,CARSON-NEWMAN
1,7.0,0,0,3,1,Erskine College
0,7.0,0,0,2,1,Erskine College
3,6.0,1,0,2,4,Florida Southern
1,7.0,3,0,4,2,COLUMBUS STATE
1,7.0,0,0,7,0,Brewton-Parker
5,7.0,1,0,5,1,THOMAS UNIVERSITY
1,7.0,0,0,6,2,GEORGIA COLLEGE
1,5.0,0,0,1,0,Albany State Univ.
1,7.0,0,0,4,0,LANDER UNIVERSITY
0,7.0,0,0,3,0,LYNN UNIVERSITY
1,7.0,0,0,1,0,Augusta State
0,6.0,0,0,2,2,Armstrong Atlantic
0,9.0,1,0,2,1,CARSON-NEWMAN
0,6.0,0,0,4,1,Palm Beach Atlantic
1,7.0,0,0,6,3,NORTH GEORGIA
0,7.0,0,0,5,0,NORTH GEORGIA
