Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
St Etienne,H - Guingamp,"May 23, 2015",Ligue 1,W 2-1,Substitute,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
St Etienne,A - Evian,"May 16, 2015",Ligue 1,W 1-2,Sub-Off 69 min,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
St Etienne,H - Nice,"May 10, 2015",Ligue 1,W 5-0,Started,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0
St Etienne,A - Bastia,"May 2, 2015",Ligue 1,L 1-0,Substitute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Etienne,H - Montpellier,"Apr 26, 2015",Ligue 1,W 1-0,Started,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
St Etienne,A - Lyon,"Apr 19, 2015",Ligue 1,D 2-2,Sub-Off 82 min,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0
St Etienne,H - Nantes,"Apr 12, 2015",Ligue 1,W 1-0,Sub-On 55 min,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
St Etienne,A - PSG,"Apr 8, 2015",Fra Cup,L 4-1,Sub-On 59 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Etienne,A - Monaco,"Apr 3, 2015",Ligue 1,D 1-1,Unused Substitute, , , , , , , , 
St Etienne,H - Lille,"Mar 22, 2015",Ligue 1,W 2-0,Substitute,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
St Etienne,A - Metz,"Mar 14, 2015",Ligue 1,W 2-3,Sub-On 78 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
St Etienne,H - Lorient,"Mar 8, 2015",Ligue 1,W 2-0,Substitute,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
St Etienne,A - Boulogne,"Mar 3, 2015",Fra Cup,W (3) 1-(4) 1,Started,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Etienne,A - Toulouse,"Feb 28, 2015",Ligue 1,D 1-1,Substitute,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
St Etienne,A - Bordeaux,"Feb 15, 2015",Ligue 1,L 1-0,Unused Substitute, , , , , , , , 
