Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
M Cameron,PAW,CF,0.286,5,14,3,4,1,0,1,3,4,4,0,0,0,1,0,0.421,0.571,0.992
C Delgado,PAW,1B,0.231,5,13,0,3,0,0,0,2,0,6,0,0,0,1,0,0.267,0.231,0.497
L Ordaz,SYR,2B,0.265,29,83,10,22,4,1,1,12,1,17,4,0,0,2,2,0.284,0.373,0.658
J Varitek,PAW,C,0.4,2,5,0,2,0,0,0,1,0,1,0,0,0,1,0,0.333,0.4,0.733
R Castro,CHA,C,0.154,4,13,1,2,0,0,1,2,3,5,0,0,0,0,1,0.313,0.385,0.697
T Glaus,GWN,3B,0.333,8,30,10,10,2,0,2,8,4,10,0,0,0,0,1,0.429,0.6,1.029
M Barrett,BUF,C,0.185,16,54,1,10,2,0,0,6,1,12,0,0,0,2,3,0.193,0.222,0.415
C Guillen,TOL,LF,0.333,5,18,5,6,3,0,1,2,2,4,0,0,0,0,0,0.4,0.667,1.067
M Lowell,PAW,3B,0.5,5,22,5,11,4,0,4,10,0,3,0,0,0,0,0,0.5,1.227,1.727
R Branyan,COL,1B,0.286,4,14,1,4,2,0,0,1,1,2,0,0,0,0,1,0.333,0.429,0.762
D McDonald,PAW,OF,0.341,10,41,6,14,6,1,2,8,2,7,1,0,0,0,0,0.372,0.683,1.055
M Hernandez,NOR,C,0.263,58,190,25,50,4,0,3,22,22,24,2,1,2,2,7,0.34,0.332,0.671
D Jimenez,ROC,3B,0.225,67,231,20,52,12,3,6,43,27,48,0,1,2,5,10,0.3,0.381,0.681
P Hoover,LHV,C,0.247,77,255,23,63,13,3,2,21,26,65,0,0,1,0,10,0.326,0.345,0.671
J Jones,ROC,OF,0.28,96,339,36,95,24,0,4,31,18,84,4,0,0,1,5,0.319,0.386,0.706
C Moeller,SWB,C,0.23,28,87,8,20,6,0,1,9,6,15,0,0,0,0,3,0.302,0.333,0.635
B Schneider,LHV,C,0.0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0.111,0.0,0.111
