MP,DRtg,TS%,Rk,Opp
4:33,75, ,2,GSW
12:33,111,.000,52,NOH
2:17,92, ,33,DEN
16:21,99,.532,36,HOU
12:49,101,.000,63,PHO
11:56,109,.000,24,SAS
18:46,112,.667,54,MIA
3:12,123, ,32,CHA
26:09,101,.765,35,WAS
15:32,122, ,49,PHI
20:23,119,.621,19,DAL
15:44,111,.840,12,HOU
23:02,137,.732,37,LAC
16:37,123,.400,11,NOH
17:43,117,.410,29,CLE
10:58,114,.000,42,POR
4:07,104,.000,4,GSW
10:52,132,.000,51,MIN
7:43,120,1.000,58,WAS
21:48,114,1.000,27,NJN
15:32,122,.000,61,POR
24:20,102,.625,48,LAC
4:23,102,.000,6,MIL
12:28,88,.667,25,DAL
22:42,120,.000,30,UTA
15:23,117,.375,3,SAC
3:51,116, ,23,PHO
14:04,116,.500,28,TOR
21:46,104,.313,53,BOS
