NO,FN,LN,DIVISION,OVERALL,DIVP,SEXP,SWIM,RATE,RANK,T1,BIKE,T2,RUN,Sand,TIME
1347,STEVEN,CHAVEZ,M50-54,34,1,31,39:24,6:33,17,5:52,56:31,1:10,52:27,2:41,2:35:24
1375,EDWARD,TISCHBERN,M50-54,71,2,62,39:15,7:32,162,6:12,54:19,1:22,1:00:17,3:01,2:41:25
1335,PAUL,BAKERMAN,M50-54,75,3,64,42:09,7:06,76,6:21,55:02,1:30,56:54,2:33,2:41:56
1403,BRUCE,GEISE,M50-54,90,4,76,43:06,7:01,59,7:02,55:25,1:54,56:12,2:32,2:43:39
1395,TODD,LOGAN,M50-54,94,5,79,40:41,7:34,171,6:01,55:18,1:25,1:00:32,3:04,2:43:57
1304,JAMES,SILK,M50-54,117,6,101,35:22,7:53,267,6:30,59:25,1:28,1:03:11,3:27,2:45:56
1515,MIKE,DANNELLEY,M50-54,127,7,111,43:37,7:34,173,6:21,55:23,1:23,1:00:34,3:05,2:47:18
1310,BRIAN,SMALLWOOD,M50-54,142,8,124,39:43,7:48,238,6:35,57:56,1:29,1:02:29,3:08,2:48:12
1362,PHILIP,BREWER,M50-54,173,9,150,44:19,7:48,237,7:19,54:38,1:36,1:02:27,2:54,2:50:19
1293,JOHN,RYAN,M50-54,182,10,159,46:54,7:41,199,5:33,55:29,1:25,1:01:29,3:00,2:50:50
1326,JOHN,LINES,M50-54,184,11,161,39:14,7:50,248,6:04,1:01:38,1:19,1:02:45,3:13,2:51:00
1361,JOHN,JEHA,M50-54,188,12,164,36:13,8:26,460,7:01,58:57,1:30,1:07:30,3:19,2:51:11
1339,JEFF,LOUTIT,M50-54,198,13,173,-,-,-,-,-,-,-,-,2:52:14
1327,PETER,DANN,M50-54,203,14,177,42:56,7:44,215,7:07,58:59,1:32,1:01:53,2:58,2:52:27
1301,MICHAEL,SPIERING,M50-54,221,15,195,44:46,7:54,274,7:56,55:27,2:06,1:03:16,2:48,2:53:31
1398,RICHARD,PESSAH,M50-54,227,16,201,45:44,7:46,225,6:36,58:15,1:22,1:02:12,3:14,2:54:09
1302,KARL,GRUNER,M50-54,268,17,234,44:57,7:42,210,8:16,59:33,1:35,1:01:42,2:59,2:56:03
1319,ALAN,GOLDS,M50-54,303,18,260,43:57,8:03,313,6:28,1:01:03,1:58,1:04:27,3:32,2:57:53
1363,KEVIN,MCALEA,M50-54,376,19,320,44:07,8:08,350,7:52,1:03:01,1:36,1:05:08,3:12,3:01:44
