AVG,3B,GIDP,SH,POS,OPS,CS
.231,2,3,1,LF,0.718,0
.299,6,4,6,CF,0.896,14
.218,3,4,0,CF,0.661,3
.210,0,4,8,C,0.54,2
.324,6,10,1,RF,0.957,10
.289,0,4,0,RF,0.746,0
.136,0,0,0,3B,0.356,0
.296,0,6,0,C,0.92,0
.322,1,1,1,SS,1.005,0
.247,0,5,4,DH,0.665,4
.233,0,8,0,3B,0.644,0
.276,1,11,1,1B,0.788,1
.214,0,0,0,LF,0.456,0
.255,0,2,0,RF,0.627,0
.211,0,0,0,3B,0.611,0
--,0,0,0,P,0.0,0
.571,0,0,0,2B,1.769,0
.262,1,10,1,1B,0.741,3
.292,1,22,4,OF,0.782,10
.300,5,15,1,2B,0.791,5
.250,5,5,4,OF,0.672,8
.236,0,0,0,OF,0.861,1
.248,4,9,4,2B,0.667,4
.247,4,5,1,RF,0.725,3
.289,6,3,2,2B,0.789,4
.462,0,0,0,LF,1.15,0
.333,1,3,0,1B,0.917,0
.281,2,5,3,DH,0.689,0
.300,3,3,1,SS,0.845,1
.408,7,5,3,2B,1.057,9
.111,0,0,0,C,0.222,0
.336,13,6,6,CF,0.925,19
.259,2,6,0,3B,0.9,0
.208,1,8,1,3B,0.586,3
.474,1,0,1,C,1.629,0
.400,0,0,0,3B,1.1,0
.270,2,18,1,C,0.787,0
.366,2,3,1,1B,1.129,3
.241,0,0,0,3B,0.701,0
.330,3,11,1,1B,0.986,1
.143,0,0,0,SS,0.536,0
.000,0,1,1,OF,0.067,0
.250,0,0,0,C,0.5,0
.225,4,6,8,RF,0.658,5
.287,0,8,3,C,0.72,1
.268,1,2,1,RF,0.707,0
--,0,0,0,P,0.0,0
.200,0,0,0,SS,0.4,0
.000,0,0,0,C,0.0,0
.245,1,1,5,LF,0.646,1
.268,2,7,3,3B,0.811,2
.302,0,4,0,C,0.944,1
.255,0,3,3,2B,0.581,2
.111,0,1,0,3B,0.325,0
.250,0,0,0,2B,0.65,0
.275,9,1,9,CF,0.711,14
.298,0,2,1,SS,0.731,0
.143,0,0,0,SS,0.393,0
.167,0,0,1,3B,0.379,0
.336,3,1,6,CF,0.878,5
--,0,0,0,P,0.0,0
.235,4,11,8,CF,0.634,16
.200,1,2,0,OF,0.821,1
.329,1,2,0,3B,0.891,1
.239,0,2,0,2B,0.634,0
.252,2,6,1,1B,0.764,3
.127,1,3,0,CF,0.395,1
.268,2,2,1,C,0.711,2
.317,2,0,2,2B,0.866,7
.286,2,10,1,C,0.887,2
.270,2,1,3,OF,0.851,0
.277,1,7,0,1B,0.814,1
.257,4,5,1,CF,0.683,11
--,0,0,0,P,0.0,0
.371,1,4,1,3B,1.121,0
.295,1,2,2,C,0.821,0
--,0,0,0,P,0.0,0
.243,5,6,0,OF,0.696,5
.333,0,0,0,3B,0.817,0
.251,5,3,5,CF,0.711,8
.244,0,0,3,SS,0.633,0
.248,1,5,0,CF,0.731,3
.256,3,6,1,3B,0.671,4
.224,3,1,5,LF,0.596,7
.293,0,15,4,1B,0.756,2
.246,1,3,0,SS,0.647,2
.270,5,8,0,2B,0.787,4
.167,0,1,0,C,0.388,0
.233,3,6,1,OF,0.717,2
.111,0,0,0,2B,0.444,1
.317,1,1,0,OF,0.884,1
.271,0,9,2,C,0.749,0
.311,2,5,0,C,0.903,2
.250,0,4,1,SS,0.739,2
.362,0,3,2,C,0.923,2
.248,1,4,3,C,0.664,2
.167,0,0,1,DH,0.619,1
.333,0,0,0,C,0.833,0
