Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Raymel Flores,GCL,21,58,7,13,3,3,0,10,4,4,9,13,0.224,0.324,0.379,0.703
Bryan Hudson,GCL,21,58,7,14,2,0,0,10,2,0,16,21,0.241,0.4,0.276,0.676
Aneudis Peralta,GCL,17,64,11,17,6,0,0,9,1,0,2,11,0.266,0.288,0.359,0.647
Alixon Suarez,GCL,14,49,6,11,5,0,0,8,1,0,3,8,0.224,0.273,0.327,0.599
Wendell Rijo,GCL,21,69,14,22,9,0,0,6,8,3,14,6,0.319,0.442,0.449,0.891
Deiner Lopez,GCL,18,69,6,21,3,3,0,6,5,3,3,18,0.304,0.351,0.435,0.786
Joseph Monge,GCL,18,57,13,16,3,0,0,6,4,3,4,13,0.281,0.349,0.333,0.683
Danny Bethea,GCL,9,30,1,4,1,0,0,6,0,0,6,2,0.133,0.263,0.167,0.43
Jantzen Witte,GCL,7,17,1,4,1,1,0,5,0,0,5,2,0.235,0.409,0.412,0.821
Jordon Austin,GCL,19,51,7,12,2,1,0,5,7,0,18,19,0.235,0.435,0.314,0.749
Jesus Loya,GCL,8,27,3,8,3,1,0,4,2,0,1,4,0.296,0.345,0.481,0.826
Nathan Minnich,GCL,15,44,4,9,6,1,0,4,0,1,9,13,0.205,0.375,0.386,0.761
Jake Davies,GCL,13,43,4,9,1,0,0,3,1,1,2,9,0.209,0.239,0.233,0.472
Jon Denney,GCL,15,45,3,9,3,0,0,2,1,0,11,17,0.2,0.368,0.267,0.635
Iseha Conklin,GCL,11,30,5,5,2,0,0,2,0,0,3,10,0.167,0.278,0.233,0.511
Carlos Coste,GCL,6,9,2,3,2,0,0,1,0,1,1,1,0.333,0.455,0.556,1.01
Mike Meyers,GCL,6,20,4,7,3,0,0,1,2,2,2,3,0.35,0.409,0.5,0.909
Mauricio Dubon,GCL,2,4,2,1,1,0,0,0,0,0,0,2,0.25,0.4,0.5,0.9
Jose Colorado,GCL,8,24,2,2,1,0,0,0,4,0,2,8,0.083,0.185,0.125,0.31
Sean Coyle,GCL,3,10,2,1,0,0,0,0,0,0,0,2,0.1,0.182,0.1,0.282
Rafael Oliveras,GCL,4,6,0,0,0,0,0,0,0,0,2,1,0.0,0.25,0.0,0.25
Nick Longhi,GCL,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
