DRB%,GS,USG%,Opp,AST%,BLK%,TOV%,Rk,eFG%
13.7,1,10.2,IND,0.0,2.9,0.0,31,.250
46.1,1,20.6,SAC,0.0,0.0,0.0,51,.500
17.3,1,16.2,DET,0.0,0.0,14.5,48,.600
14.9,1,13.4,ATL,0.0,4.3,0.0,21,.778
27.9,1,7.1,GSW,11.8,0.0,0.0,24,1.000
8.8,1,17.1,CHH,15.2,5.4,20.5,49,.333
20.0,0,26.6,MIL,0.0,0.0,0.0,8,.667
27.9,0,17.5,ATL,0.0,0.0,27.3,7,1.000
43.2,0,34.4,MIA,0.0,9.0,12.9,1,.600
20.5,1,9.7,DET,0.0,7.6,0.0,46,.000
11.9,1,4.8,HOU,0.0,0.0,0.0,38,.500
24.5,1,0.0,DAL,0.0,11.3, ,47, 
14.5,1,32.3,DET,66.1,5.7,26.9,57,.800
25.0,1,7.1,HOU,7.4,4.0,34.7,41,.000
7.0,1,9.9,PHI,0.0,10.5,33.3,56,1.000
22.3,1,10.8,LAC,0.0,0.0,25.0,37,.667
20.3,1,14.8,TOR,6.1,0.0,0.0,61,.333
21.0,1,15.7,BOS,0.0,0.0,22.2,18,.571
19.0,1,20.0,CLE,9.1,3.5,12.9,52,.800
