ibb,r,e,hr,Opponent,Date
0,1,2,0,Southeast Missouri,"Mar 30, 2014"
0,2,3,0,Murray State,"Mar 15, 2014"
0,5,2,1,Evansville,"Mar 18, 2014"
0,3,1,0,SIU Edwardsville,"May 03, 2014"
0,2,1,1,Murray State,"Mar 14, 2014"
0,5,0,0,Eastern Michigan,"Feb 23, 2014"
0,4,0,0,Lipscomb,"May 06, 2014"
0,3,2,0,Belmont,"Apr 06, 2014"
0,2,1,1,Austin Peay,"May 11, 2014"
0,1,0,0,Belmont,"Apr 05, 2014"
0,6,1,1,Stephen F. Austin,"Mar 01, 2014"
0,1,2,0,Eastern Kentucky,"Apr 11, 2014"
0,4,4,0,Stephen F. Austin,"Feb 28, 2014"
0,4,3,2,Missouri State,"Apr 25, 2014"
0,13,3,0,Eastern Kentucky,"Apr 12, 2014"
0,0,2,0,UAB,"Feb 14, 2014"
0,5,0,2,Missouri State,"Apr 26, 2014"
0,3,8,1,Eastern Michigan,"Feb 21, 2014"
0,7,2,1,SIU Edwardsville,"May 02, 2014"
