BLK%,TRB%,GS,Date,G,Rk,GmSc
0.0,17.4,0,2003-04-16,58,58,3.1
0.0,7.0,0,2003-02-26,33,33,1.2
0.0,8.3,0,2003-01-22,18,18,-2.0
0.0,24.0,0,2003-03-02,35,35,0.8
0.0,19.7,0,2003-01-03,8,8,4.8
0.0,15.1,0,2003-03-18,43,43,5.3
0.0,19.0,0,2003-03-10,39,39,0.2
0.0,24.0,0,2003-04-09,55,55,2.1
0.0,9.5,0,2003-01-04,9,9,6.9
0.0,0.0,0,2003-01-29,22,22,4.0
0.0,14.6,0,2003-01-08,11,11,-0.2
0.0,11.1,0,2003-03-26,47,47,1.6
0.0,0.0,0,2003-01-24,19,19,-2.1
7.5,17.8,0,2003-01-15,14,14,1.1
12.0,12.5,0,2003-04-04,52,52,0.2
0.0,4.6,0,2003-01-16,15,15,-0.4
0.0,10.1,0,2003-04-14,57,57,1.3
8.8,11.2,0,2003-01-20,17,17,11.2
