Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Raymel Flores,GCL,75,13,18,3,3,0,0,8,4,15,19,0.24,0.374,0.36,0.734
Deiner Lopez,GCL,49,6,14,4,2,0,0,5,4,2,11,0.286,0.327,0.449,0.776
Nathan Minnich,GCL,29,4,8,5,1,0,0,0,1,5,8,0.276,0.432,0.517,0.95
Iseha Conklin,GCL,34,3,9,2,1,0,0,3,1,5,10,0.265,0.375,0.382,0.757
Aneudis Peralta,GCL,85,10,28,7,0,0,0,1,2,9,9,0.329,0.406,0.412,0.818
Mike Meyers,GCL,48,7,15,3,0,0,0,3,1,5,10,0.313,0.377,0.375,0.752
Bryan Hudson,GCL,80,11,23,6,0,0,0,4,1,12,25,0.288,0.38,0.363,0.743
Wendell Rijo,GCL,91,18,22,8,0,0,0,11,4,16,16,0.242,0.378,0.33,0.708
Mark Hamilton,GCL,12,1,3,1,0,0,0,0,0,2,6,0.25,0.357,0.333,0.69
Kolbrin Vitek,GCL,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667
Jon Denney,GCL,41,7,9,2,0,0,0,0,0,10,14,0.22,0.396,0.268,0.665
Jantzen Witte,GCL,21,1,5,1,0,0,0,0,0,3,3,0.238,0.333,0.286,0.619
Jordon Austin,GCL,61,10,13,4,0,0,0,10,0,8,28,0.213,0.314,0.279,0.593
Mauricio Dubon,GCL,32,6,7,2,0,0,0,5,1,1,7,0.219,0.306,0.281,0.587
Jose Colorado,GCL,23,4,5,2,0,0,0,2,0,1,5,0.217,0.28,0.304,0.584
Sean Coyle,GCL,11,2,2,0,0,0,0,1,1,3,4,0.182,0.4,0.182,0.582
Jake Davies,GCL,50,5,11,1,0,0,0,1,0,4,18,0.22,0.278,0.24,0.518
Rafael Oliveras,GCL,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5
Jesus Loya,GCL,16,1,3,1,0,0,0,2,0,0,3,0.188,0.235,0.25,0.485
Aaron King,GCL,9,0,1,0,0,0,0,0,0,3,2,0.111,0.333,0.111,0.444
Joseph Monge,GCL,61,9,10,0,0,0,0,4,3,5,21,0.164,0.25,0.164,0.414
Nick Longhi,GCL,22,2,3,3,0,0,0,1,0,0,6,0.136,0.136,0.273,0.409
Carlos Coste,GCL,22,0,4,0,0,0,0,1,1,0,4,0.182,0.217,0.182,0.399
Danny Bethea,GCL,15,1,1,1,0,0,0,0,0,3,1,0.067,0.222,0.133,0.356
Alixon Suarez,GCL,61,7,8,2,0,0,0,0,0,2,12,0.131,0.185,0.164,0.349
