Reb,GP,FGM,3FGM,FTM,Split,Blk,Min,DEF
5.0,2,6.5,1.0,1.5,Losses,0.0,32.8,4.0
2.3,6,3.0,1.0,1.7,Losses,0.2,24.6,2.0
2.4,12,4.2,1.3,1.7,Away Games,0.2,26.0,2.3
3.0,1,4.0,3.0,1.0,Games In February,0.0,17.8,2.0
3.4,9,5.9,1.8,1.0,Games In March,0.0,29.9,3.0
2.9,27,5.2,1.6,2.1,v. Opp. At or Below .500,0.1,25.8,2.2
2.0,3,7.3,1.0,4.7,Games In October,0.3,29.1,1.3
2.2,5,4.8,2.2,1.0,Games In February,0.0,26.7,1.8
2.4,5,4.4,1.6,1.8,Last 5 Games,0.0,23.0,2.4
3.2,5,5.6,1.4,1.0,Games In March,0.0,30.3,2.6
-,-,-,-,-,Limited Playing Time,-,-,-
2.0,5,2.6,0.2,1.4,Games In January,0.0,23.0,1.6
2.0,5,3.6,1.6,2.8,Games In April,0.0,24.0,1.6
2.3,3,2.7,0.0,1.7,Games In January,0.0,25.4,2.0
3.6,8,4.4,1.2,1.1,v. Opp. Above .500,0.0,26.1,2.9
1.5,2,2.5,0.0,1.0,Games In October,0.0,17.7,1.0
3.4,7,5.6,1.6,2.1,Games In December,0.1,27.9,2.6
3.0,3,4.3,1.3,1.0,Games In December,0.0,23.0,3.0
2.4,12,4.4,1.0,1.8,v. Opp. Above .500,0.1,29.5,2.2
3.1,14,4.1,1.3,1.2,Games As Starter,0.0,24.3,2.4
3.6,9,5.1,1.0,1.4,Games In November,0.2,27.4,2.7
2.4,5,4.4,1.6,1.8,Last 5 Games,0.0,23.0,2.4
4.0,3,6.3,2.0,3.3,Games In December,0.3,30.8,2.3
-,-,-,-,-,Games In September,-,-,-
3.5,2,4.0,1.5,1.5,Games In November,0.0,29.4,2.0
2.4,7,4.1,1.7,1.3,v. Opp. At or Below .500,0.0,22.9,2.0
3.2,10,4.6,1.7,1.2,Last 10 Games,0.0,25.6,2.7
2.0,2,5.0,2.0,0.0,Games In February,0.0,33.1,2.0
2.5,19,4.6,1.4,1.2,Games As Starter,0.1,25.0,2.2
2.3,10,4.6,1.4,2.6,Last 10 Games,0.1,28.4,2.0
3.3,15,5.8,1.5,2.9,v. Opp. At or Below .500,0.2,28.3,2.3
-,-,-,-,-,Games In July,-,-,-
2.6,7,3.4,1.7,0.9,Games In Rotation,0.0,21.2,2.6
2.5,2,5.0,0.5,0.0,Games In November,0.5,19.7,1.5
2.9,28,5.1,1.2,2.3,International Season Stats,0.1,28.8,2.3
3.8,5,5.2,2.2,1.0,Last 5 Games,0.0,27.2,3.4
4.3,3,6.3,2.3,1.0,Games In March,0.0,29.1,4.0
2.8,30,4.4,1.2,2.1,Away Games,0.1,27.0,2.4
3.0,4,5.0,1.2,1.2,Games In December,0.0,25.8,2.8
4.0,1,4.0,2.0,0.0,Games In May,0.0,21.1,3.0
1.0,1,4.0,1.0,0.0,Games In January,0.0,21.0,1.0
-,-,-,-,-,Games In August,-,-,-
3.8,4,6.2,2.2,1.0,Games In March,0.0,29.3,3.5
2.6,15,5.3,1.4,2.1,Home Games,0.2,29.1,2.1
