Date,Opponent,Score,tc,po,a,e,fpct,dp,sba,rcs,rcs%,pb,ci
Feb 8,vs. San Jose State,"L, 6-5",4,3,0,1,.750,-,-,-,-,-,-
Feb 8,at Arizona State,"L, 6-1",11,11,0,0,1.000,-,-,-,-,-,-
Feb 9,vs. Florida,"L, 7-0",5,5,0,0,1.000,-,-,-,-,-,-
Feb 9,vs. California,"L, 7-2",4,4,0,0,1.000,-,-,-,-,-,-
Feb 10,vs. Western Mich.,"W, 6-1",12,10,2,0,1.000,-,-,-,-,-,-
Feb 13,at Fresno State,"L, 3-2",8,8,0,0,1.000,1,-,-,-,-,-
Feb 13,at Fresno State,"L, 8-2",2,1,1,0,1.000,1,-,-,-,-,-
Feb 15,vs. CSU Bakersfield,"W, 2-1",5,4,1,0,1.000,-,-,-,-,-,-
Feb 15,at Stanford,"L, 9-0",5,5,0,0,1.000,-,-,-,-,-,-
Feb 16,vs. Santa Clara,"W, 5-0",5,5,0,0,1.000,-,-,-,-,-,-
Feb 16,at Stanford,"L, 8-0",6,6,0,0,1.000,-,-,-,-,-,-
Feb 17,vs. CSU Bakersfield,"W, 8-0",3,3,0,0,1.000,-,-,-,-,-,-
Feb 22,at San Jose State,"L, 5-0",4,4,0,0,1.000,-,-,-,-,-,-
Feb 22,at Santa Clara,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Feb 23,vs. Idaho St.,"L, 4-1",3,2,1,0,1.000,-,-,-,-,-,-
Feb 23,vs. Fresno State,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Feb 24,vs. Saint Mary's (CA),"L, 4-3",10,10,0,0,1.000,-,-,-,-,-,-
Mar 1,vs. New Mexico St.,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at UNLV,"L, 4-2",4,4,0,0,1.000,-,-,-,-,-,-
Mar 2,vs. Weber St.,"W, 8-0",2,2,0,0,1.000,-,-,-,-,-,-
Mar 2,vs. DePaul,"W, 4-2",9,9,0,0,1.000,1,-,-,-,-,-
Mar 3,vs. DePaul,"L, 7-1",6,5,1,0,1.000,-,-,-,-,-,-
Mar 3,vs. Weber St.,"L, 3-1",8,8,0,0,1.000,-,-,-,-,-,-
Mar 6,UCLA,"W, 3-2",13,12,1,0,1.000,1,-,-,-,-,-
Mar 9,CSU Bakersfield,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 9,CSU Bakersfield,"W, 4-2",8,8,0,0,1.000,1,-,-,-,-,-
Mar 12,Northern Ill.,"W, 3-2",7,7,0,0,1.000,-,-,-,-,-,-
Mar 12,Northern Ill.,"L, 2-1",0,0,0,0,-,-,-,-,-,-,-
Mar 16,Loyola Marymount,"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
Mar 16,Seattle University,"W, 10-2",5,4,0,1,.800,-,-,-,-,-,-
Mar 17,Seattle University,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
Mar 17,Loyola Marymount,"W, 3-1",0,0,0,0,-,-,-,-,-,-,-
Mar 23,Hawai'i,"L, 5-4",0,0,0,0,-,-,-,-,-,-,-
Mar 23,Hawai'i,"L, 5-3",-,-,-,-,-,-,-,-,-,-,-
Mar 24,Hawai'i,"L, 9-3",7,7,0,0,1.000,1,-,-,-,-,-
Apr 6,at UC Davis,"L, 5-2",0,0,0,0,-,-,-,-,-,-,-
Apr 6,at UC Davis,"L, 5-0",-,-,-,-,-,-,-,-,-,-,-
Apr 7,at UC Davis,"W, 8-1",0,0,0,0,-,-,-,-,-,-,-
Apr 10,at Long Beach State,"L, 1-0",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Cal Poly,"W, 7-0",0,0,0,0,-,-,-,-,-,-,-
Apr 13,Cal Poly,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 14,Cal Poly,"L, 2-1",4,4,0,0,1.000,-,-,-,-,-,-
Apr 17,at Long Beach State,"W, 4-2",9,7,1,1,.889,1,-,-,-,-,-
Apr 17,at Long Beach State,"L, 2-0",4,4,0,0,1.000,-,-,-,-,-,-
Apr 20,Pacific,"W, 3-1",0,0,0,0,-,-,-,-,-,-,-
Apr 20,Pacific,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 21,Pacific,"L, 5-1",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at UC Santa Barbara,"L, 8-0",0,0,0,0,-,-,-,-,-,-,-
Apr 27,at UC Santa Barbara,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 28,at UC Santa Barbara,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
May 4,UC Riverside,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
May 4,UC Riverside,"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
May 5,UC Riverside,"W, 12-3",-,-,-,-,-,-,-,-,-,-,-
May 10,at Cal State Fullerton,"L, 4-0",0,0,0,0,-,-,-,-,-,-,-
May 10,at Cal State Fullerton,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
May 11,at Cal State Fullerton,"L, 8-2",-,-,-,-,-,-,-,-,-,-,-
