SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1995 - 1996,Grästorps IK,Division 2,18,4,5,9,-,-,56,91,13,7,-
1996 - 1997,Grästorps IK,Division 2,32,13,4,15,-,-,120,121,30,6,-
1997 - 1998,Grästorps IK,Division 2,32,10,6,16,-,-,97,115,26,6,-
1998 - 1999,Grästorps IK,Division 2,18,1,0,17, , ,44,121,2,10,-
1999 - 2000,Grästorps IK,Division 2,14,3,2,9, , ,49,60,8,6,-
2000 - 2001,Grästorps IK,Division 2,14,11,1,2, , ,90,25,23,2,-
2001 - 2002,Grästorps IK,Division 2,14,6,2,6,-,-,49,44,14,3,-
2002 - 2003,Grästorps IK,Division 3,24,12,3,9,-,-,105,92,27,6,-
2003 - 2004,Grästorps IK,Division 3,24,20,2,2, , ,190,69,42,1,Promoted
2004 - 2005,Grästorps IK,Division 2,24,15,2,7, , ,95,68,32,4,-
2005 - 2006,Grästorps IK,Division 2,26,9,6,11, , ,101,98,24,8,-
2006 - 2007,Grästorps IK,Division 2,26,14,2,10, , ,118,91,30,6,-
2007 - 2008,Grästorps IK,Division 2,27,17,3,7, , ,120,85,37,1,Kval upp
2008 - 2009,Grästorps IK,Division 2,27,19,2,6, , ,133,78,40,2,Kval upp
2009 - 2010,Grästorps IK,Division 2,36,26,7,3, , ,188,96,59,1,Promoted
 ,Grästorps IK,Kval Div.1,8,5,-,1,1,1,40,18,18,2,Promoted
2010 - 2011,Grästorps IK,Division 1,27,9,-,12,5,1,78,83,38,5,-
 ,Grästorps IK,Division 1,10,5,-,5,0,0,38,36,23,3,-
2011 - 2012,Grästorps IK,Division 1,27,5,-,15,3,4,69,113,25,9,-
 ,Grästorps IK,Division 1,15,8,-,7,0,0,42,57,25,5,Kval ner
 ,Grästorps IK,Kval Div.1,8,6,-,1,1,0,36,13,20,1,Saved in relegation
2012 - 2013,Grästorps IK,Division 1,27,7,-,20,0,0,63,122,21,9,-
 ,Grästorps IK,Division 1,15,2,-,10,0,3,27,59,10,6,Kval ner
 ,Grästorps IK,Kval Div.1,8,5,-,3,0,0,22,18,15,1,Saved in relegation
2013 - 2014,Grästorps IK,Division 1,27,4,-,20,2,1,62,118,17,10,-
 ,Grästorps IK,Division 1,15,3,-,10,1,1,42,58,12,6,Kval ner
 ,Grästorps IK,Kval Div.1,8,4,-,3,0,1,32,24,13,3,Saved in relegation
2014 - 2015,Grästorps IK,Division 1,22,2,-,14,2,4,51,95,14,12,-
 ,Grästorps IK,Division 1,14,7,-,5,0,2,29,33,23,5,-
2015 - 2016,Grästorps IK,Division 1,-,-,-,-,-,-,-,-,-,-,-
