ORtg,MP,Opp,BLK%,TOV%,DRtg,GS
69,14:00,DEN,0.0,28.6,103,0
104,12:00,ORL,0.0,0.0,103,0
36,4:00,LAL,0.0,0.0,142,0
53,3:00,NJN,0.0,50.0,89,0
62,15:00,UTA,0.0,22.5,117,0
135,9:00,LAL,0.0,25.0,100,0
114,6:00,DEN,0.0,0.0,119,0
118,19:00,DEN,0.0,18.2,95,0
101,19:00,BOS,0.0,9.1,118,0
75,13:00,MIA,0.0,25.0,105,0
58,10:00,GSW,0.0,36.8,101,0
70,17:00,HOU,0.0,11.3,100,0
111,9:00,IND,0.0,11.8,129,0
15,2:00,GSW,0.0,50.0,97,0
50,11:00,WSB,0.0,16.7,97,0
65,8:00,UTA,0.0,25.0,114,0
68,3:00,SEA,0.0,0.0,117,0
47,8:00,SEA,0.0,0.0,113,0
85,14:00,WSB,0.0,28.6,94,0
0,2:00,MIA,0.0,100.0,116,0
0,3:00,PHI,0.0,0.0,104,0
137,5:00,MIN,0.0,0.0,110,0
50,14:00,UTA,0.0,50.0,102,0
 ,1:00,CHH,0.0, ,129,0
 ,1:00,LAC,0.0, ,115,0
96,21:00,UTA,0.0,11.3,128,0
168,10:00,NJN,0.0,0.0,102,0
