Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Lars Anderson,Paw,27,94,19,23,6,0,5,18,0,0,20,23,0.245,0.377,0.468,0.845
Mauro Gomez,Paw,21,78,8,17,7,0,3,15,0,0,6,22,0.218,0.274,0.423,0.697
Nate Spears,Paw,26,83,15,21,6,1,4,14,1,0,12,25,0.253,0.354,0.494,0.848
Josh Kroeger,Paw,28,108,17,25,7,0,6,12,0,3,7,22,0.231,0.274,0.463,0.736
Alex Hassan,Paw,26,87,12,20,4,0,3,12,0,0,13,27,0.23,0.327,0.379,0.706
Ryan Lavarnway,Paw,22,80,12,22,5,0,1,10,0,0,9,16,0.275,0.359,0.375,0.734
Pedro Ciriaco,Paw,25,104,15,30,4,1,1,10,5,2,1,23,0.288,0.296,0.375,0.671
Daniel Nava,Paw,8,31,4,14,4,1,1,9,0,0,1,5,0.452,0.469,0.742,1.211
Jose Iglesias,Paw,20,82,13,28,2,1,1,9,4,0,4,5,0.341,0.364,0.427,0.79
Che-Hsuan Lin,Paw,20,67,12,20,2,0,1,7,3,0,14,12,0.299,0.415,0.373,0.788
Scott Podsednik,Paw,9,31,5,10,0,1,1,6,2,0,3,2,0.323,0.371,0.484,0.855
Tony Thomas,Paw,17,47,7,11,2,1,0,5,7,0,6,14,0.234,0.315,0.319,0.634
Mike Rivera,Paw,10,32,1,4,0,0,0,3,0,0,3,10,0.125,0.216,0.125,0.341
Kevin Youkilis,Paw,4,11,1,4,2,0,0,1,0,1,3,4,0.364,0.5,0.545,1.045
Ronald Bermudez,Paw,4,12,1,2,1,0,0,1,0,0,0,4,0.167,0.154,0.25,0.404
Darnell McDonald,Paw,3,8,0,0,0,0,0,1,0,0,0,2,0.0,0.1,0.0,0.1
Jonathan Hee,Paw,8,21,1,5,2,0,0,0,0,0,1,3,0.238,0.304,0.333,0.638
Will Middlebrooks,Paw,1,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
