Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Tim Lincecum,SF,41,8,3,1,0,5,8,13,1,0,0.195,0.327,0.317,0.644
Clayton Kershaw,LA,40,17,2,1,0,1,4,10,1,0,0.425,0.477,0.525,1.002
Madison Bumgarner,SF,31,8,0,1,0,1,4,5,0,1,0.258,0.343,0.323,0.665
Barry Zito,OAK,30,10,3,0,0,0,3,6,2,0,0.333,0.412,0.433,0.845
Ian Kennedy,SD,30,7,1,1,0,3,3,8,0,0,0.233,0.303,0.333,0.636
Edinson Volquez,KC,28,8,1,1,1,2,4,8,1,0,0.286,0.375,0.5,0.875
Clayton Richard,CHI-N,27,6,2,0,0,1,5,6,0,1,0.222,0.344,0.296,0.64
Ted Lilly, ,25,4,1,1,1,4,3,7,1,0,0.16,0.25,0.4,0.65
Joe Saunders,SEA,25,3,0,1,0,0,1,3,0,1,0.12,0.154,0.2,0.354
Josh Collmenter,AZ,24,6,1,0,2,2,2,5,1,0,0.25,0.308,0.542,0.849
Hiroki Kuroda, ,24,6,0,2,1,1,1,2,0,0,0.25,0.28,0.542,0.822
Matt Cain,SF,24,5,1,1,0,0,10,11,2,0,0.208,0.457,0.333,0.79
Cole Hamels,TEX,23,4,0,0,0,0,3,6,0,0,0.174,0.269,0.174,0.443
Kevin Correia,PHI,22,1,0,0,0,0,1,9,0,0,0.045,0.087,0.045,0.132
Paul Maholm, ,20,9,3,0,0,4,3,1,0,0,0.45,0.522,0.6,1.122
Chad Billingsley,PHI,20,5,2,0,0,0,1,4,1,0,0.25,0.286,0.35,0.636
Mat Latos,LA,20,4,1,1,1,1,1,4,0,0,0.2,0.238,0.5,0.738
Jordan Zimmermann,WAS,20,4,1,0,1,1,3,7,0,0,0.2,0.304,0.4,0.704
Chris Capuano,NY-A,19,6,0,1,0,3,3,3,0,0,0.316,0.409,0.421,0.83
Luke Gregerson,HOU,18,8,2,0,0,1,0,5,0,0,0.444,0.444,0.556,1.0
Jon Niese,NY-N,18,5,0,0,1,1,1,2,0,0,0.278,0.316,0.444,0.76
Randy Wolf,TOR,18,5,0,1,0,0,0,2,0,0,0.278,0.278,0.389,0.667
Jeff Samardzija,CHI-A,18,4,0,1,1,1,1,7,1,0,0.222,0.263,0.5,0.763
Jonathan Sanchez, ,18,4,1,0,0,0,3,6,0,0,0.222,0.333,0.278,0.611
Zack Greinke,LA,18,2,0,0,0,2,0,9,0,0,0.111,0.111,0.111,0.222
Wade Miley,BOS,17,6,1,0,1,1,4,4,0,1,0.353,0.476,0.588,1.064
Adam Wainwright,STL,17,3,1,0,1,1,0,6,0,0,0.176,0.176,0.412,0.588
Aaron Harang,PHI,17,2,0,2,0,0,4,7,1,1,0.118,0.318,0.353,0.671
Max Scherzer,WAS,16,4,1,0,0,3,0,7,0,0,0.25,0.25,0.313,0.563
Derek Lowe, ,16,3,2,0,0,1,0,2,0,0,0.188,0.188,0.313,0.5
Bronson Arroyo,LA,16,2,0,0,1,2,2,3,0,0,0.125,0.222,0.313,0.535
Daniel Hudson,AZ,15,5,2,0,1,2,2,4,0,0,0.333,0.412,0.667,1.078
Cliff Lee,PHI,15,5,2,0,0,1,1,4,0,0,0.333,0.375,0.467,0.842
Mike Pelfrey,MIN,15,2,1,0,0,1,0,6,0,0,0.133,0.125,0.2,0.325
Trevor Cahill,LA,14,7,1,2,0,1,1,0,0,0,0.5,0.588,0.857,1.445
Gio Gonzalez,WAS,14,6,1,0,1,2,1,4,0,0,0.429,0.467,0.714,1.181
Tom Gorzelanny,DET,14,4,1,0,1,3,1,3,1,0,0.286,0.333,0.571,0.905
Felix Hernandez,SEA,14,4,0,0,0,0,0,4,1,0,0.286,0.286,0.286,0.571
Mike Leake,SF,14,3,1,0,0,1,0,6,0,0,0.214,0.214,0.286,0.5
James McDonald, ,14,3,0,0,1,1,2,2,0,0,0.214,0.313,0.429,0.741
Mike Minor,ATL,14,3,0,1,0,0,2,1,0,0,0.214,0.313,0.357,0.67
Chad Gaudin,LA,13,5,0,0,0,2,0,4,0,0,0.385,0.385,0.385,0.769
Tim Hudson,SF,13,5,1,0,0,2,2,3,0,0,0.385,0.5,0.462,0.962
Johnny Cueto,KC,13,3,0,0,0,0,1,7,1,1,0.231,0.286,0.231,0.516
Cory Luebke,SD,13,3,1,0,0,0,4,1,0,0,0.231,0.412,0.308,0.719
Shaun Marcum,CLE,13,3,0,0,0,0,2,5,0,0,0.231,0.333,0.231,0.564
Dan Haren,CHI-N,13,1,1,0,0,0,1,2,0,0,0.077,0.143,0.154,0.297
Andrew Cashner,SD,12,5,0,0,1,2,1,3,0,0,0.417,0.462,0.667,1.128
Patrick Corbin,AZ,12,5,1,1,0,3,0,2,0,1,0.417,0.417,0.667,1.083
Kyle Kendrick,COL,12,5,2,2,0,3,4,4,1,0,0.417,0.529,0.917,1.446
Chris Young,KC,12,5,1,0,0,1,3,4,0,0,0.417,0.533,0.5,1.033
Jon Garland, ,12,4,0,1,0,1,1,2,0,0,0.333,0.385,0.5,0.885
Wade LeBlanc, ,12,4,0,0,0,0,1,2,0,0,0.333,0.385,0.333,0.718
Edward Mujica,OAK,12,3,0,0,0,0,0,4,1,0,0.25,0.25,0.25,0.5
Ricky Nolasco,MIN,12,3,1,0,0,0,2,4,0,0,0.25,0.357,0.333,0.69
Kyle Lohse,MIL,12,2,1,0,0,0,0,4,0,0,0.167,0.167,0.25,0.417
Eric Stults,LA,11,5,2,0,0,0,2,0,0,0,0.455,0.538,0.636,1.175
Jason Marquis, ,11,4,1,0,1,1,1,3,1,0,0.364,0.417,0.727,1.144
David Price,TOR,11,4,1,0,1,1,1,2,0,0,0.364,0.417,0.727,1.144
Anthony Bass,TEX,11,3,1,0,1,2,0,3,0,0,0.273,0.273,0.636,0.909
Ryan Vogelsong,SF,11,3,1,1,0,0,1,3,0,0,0.273,0.333,0.545,0.879
Heath Bell, ,11,2,1,0,0,0,0,6,0,0,0.182,0.182,0.273,0.455
Hisashi Iwakuma,SEA,11,2,1,0,0,0,1,5,0,0,0.182,0.25,0.273,0.523
James Shields,SD,11,2,0,0,1,1,0,4,0,0,0.182,0.182,0.455,0.636
Joe Thatcher, ,10,6,2,0,0,1,0,0,0,0,0.6,0.6,0.8,1.4
Erik Bedard, ,10,5,0,0,1,1,1,2,1,0,0.5,0.545,0.8,1.345
