SF,SO,SLG,HR,2B,G
2,55,0.342,1,19,120
0,10,0.304,1,1,19
0,2,0.395,0,2,11
2,19,0.317,0,9,50
3,21,0.305,3,4,57
0,36,0.191,1,2,59
0,10,0.222,0,2,9
4,45,0.347,1,8,70
3,27,0.352,1,6,38
1,45,0.45,10,10,72
1,18,0.25,0,4,33
1,10,0.225,0,3,42
2,42,0.351,3,15,73
6,119,0.297,3,12,107
4,56,0.397,7,17,107
1,34,0.488,7,16,67
5,100,0.363,3,26,128
0,7,0.143,0,0,7
6,60,0.39,4,33,125
1,24,0.379,3,4,29
4,102,0.327,1,17,129
1,95,0.299,4,9,94
2,12,0.425,2,3,21
1,36,0.311,1,12,57
3,59,0.247,0,8,97
1,36,0.225,0,3,39
1,16,0.341,0,8,24
1,14,0.325,0,2,15
0,154,0.397,13,11,119
0,2,0.286,0,1,3
0,53,0.286,1,12,75
4,51,0.318,2,15,91
1,13,0.349,2,2,22
2,22,0.392,2,9,44
2,43,0.327,5,14,91
