Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,SW,IP
2000 Summer,20,Sydney,Volleyball,China,CHN,Final Round,Match 5/6,1,2000-09-28,"CHN 3, GER 1",3,12
2000 Summer,20,Sydney,Volleyball,China,CHN,Classification Round 5-8,Match #2,1,2000-09-27,"CHN 3, KOR 1",3,11
2000 Summer,20,Sydney,Volleyball,China,CHN,Group A,Match #4,2,2000-09-18,"CRO 3, CHN 1",1,13
2000 Summer,20,Sydney,Volleyball,China,CHN,Group A,Match #8,2,2000-09-20,"BRA 3, CHN 0",0,4
2000 Summer,20,Sydney,Volleyball,China,CHN,Group A,Match #10,1,2000-09-22,"CHN 3, KEN 0",3,5
2000 Summer,20,Sydney,Volleyball,China,CHN,Group A,Match #15,1,2000-09-24,"CHN 3, AUS 0",3,4
2004 Summer,24,Athina,Volleyball,China,CHN,Final Round,Match 1/2,1,2004-08-28,"CHN 3, RUS 2",3,0
2004 Summer,24,Athina,Volleyball,China,CHN,Semi-Finals,Match #2,1,2004-08-26,"CHN 3, CUB 2",3,0
2004 Summer,24,Athina,Volleyball,China,CHN,Quarter-Finals,Match #4,1,2004-08-24,"CHN 3, JPN 0",3,0
2004 Summer,24,Athina,Volleyball,China,CHN,Group B,Match #3,1,2004-08-14,"CHN 3, USA 1",3,0
2004 Summer,24,Athina,Volleyball,China,CHN,Group B,Match #4,1,2004-08-16,"CHN 3, DOM 0",3,0
2004 Summer,24,Athina,Volleyball,China,CHN,Group B,Match #8,2,2004-08-18,"CUB 3, CHN 2",2,1
2004 Summer,24,Athina,Volleyball,China,CHN,Group B,Match #10,1,2004-08-20,"CHN 3, GER 0",3,0
2004 Summer,24,Athina,Volleyball,China,CHN,Group B,Match #14,1,2004-08-22,"CHN 3, RUS 0",3,0
