H,A,S,M,N,Q,U
21,2009-2010,45,91, ,15,4v5
But - BUF,2009-2010,34,91, ,26,4v5
 ,2009-2010,29,32, ,19,4v5
13,2009-2010,39,22,91,15,5v5
91,2009-2010,41,75,91,30,5v5
13,2009-2010,55,44,91,30,5v4
 ,2009-2010,24,67,68,16,5v5
14,2009-2010,35,31,91,15,5v5
 ,2009-2010,41,75,91,30,5v5
 ,2009-2010,24,68,84,16,5v5
21,2009-2010,51,84,91,22,5v5
 ,2009-2010,39,40,75,22,5v5
40,2009-2010,35,67,75,15,5v5
 ,2009-2010,39,46,67,15,5v5
 ,2009-2010,41,91, ,29,4v5
 ,2009-2010,35,67,75,22,5v5
14,2009-2010,35,67, ,15,4v5
40,2009-2010,55,70,75,28,5v5
32,2009-2010,41,75, ,29,4v5
 ,2009-2010,45,79,91,15,5v5
32 - But,2009-2010,35,31,32,22,5v5
70,2009-2010,23,70,75,16,5v5
46,2009-2010,41,46,67,29,5v5
 ,2009-2010,35,31,75,22,5v5
 ,2009-2010,25,70,75,12,5v5
 ,2009-2010,55,67,75,28,5v5
 ,2009-2010,34,44,46,26,5v5
13,2009-2010,41,75,91,30,5v5
84,2009-2010,55,84,91,41,5v4
21,2009-2010,45,79,91,15,5v5
67,2009-2010,52,46,67,30,5v5
 ,2009-2010,45,75,91,15,5v5
 ,2009-2010,55, , ,35,2v4
46,2009-2010,39,79, ,22,4v4
84,2009-2010,45,75,84,22,5v5
 ,2009-2010,37,44,67,34,5v5
13,2009-2010,35,91, ,9,4v5
But TOR,2009-2010,35,46,75,15,5v5
 ,2009-2010,44,44, ,26,4v4
Notes,Saison/Season,OPP5,MTL5,MTL6,OPP3,Situation
13,2009-2010,39,75,91,22,5v5
 ,2009-2010,35,32,75,18,5v5
26 - But,2009-2010,55,31, ,35,4v4
 ,2009-2010,34,91, ,26,4v5
 ,2009-2010,35,32,75,18,5v5
 ,2009-2010,55,91, ,22,4v4
21,2009-2010,51,31,79,22,5v4
 ,2009-2010,55,44, ,30,4v4
44,2009-2010,55,44,91,30,5v4
