RAR,Age,RAA,Acquired,Rrep,PA,Rpos,waaWL%
0,34,0,Traded,0,0,0,.500
0,24,0,Traded,0,5,1,.501
0,23,0,Amateur Draft,0,0,0,.501
-2,30,-4,Traded,2,40,-0,.472
0,25,0,Traded,0,0,0,.501
0,26,0,Amateur Draft,0,0,0,.501
-1,33,-3,Free Agency,3,71,0,.487
0,25,0,Amateur Draft,0,0,0,.500
4,27,-10,Amateur Draft,14,374,5,.489
23,23,10,Amateur Draft,13,334,-3,.512
0,35,0,Free Agency,0,0,0,.501
12,31,-2,Waivers,14,379,3,.498
1,38,-11,Free Agency,12,329,-7,.486
0,31,0,Free Agency,0,0,0,.500
0,23,0,Traded,0,0,0,.501
0,27,-0,Free Agency,1,22,-0,.498
1,35,-0,Free Agency,1,30,1,.498
13,21,10,Traded,3,84,-1,.556
34,28,14,Purchased,19,507,-8,.511
-2,31,-11,Traded,9,227,1,.481
1,28,1,Traded,0,3,1,.503
-5,27,-5,Waivers,1,15,-0,.440
0,27,0,Waivers,0,4,1,.501
0,23,0,Amateur Draft,0,0,0,.500
0,26,0,Amateur Free Agent,0,0,0,.500
2,26,0,Traded,2,54,1,.502
18,27,-0,Amateur Draft,19,495,-7,.500
0,29,0,Traded,0,0,0,.501
261,28.9,25, ,236,6365,-5,.501
0,32,0,Free Agency,0,0,0,.500
