2B,SO,GIDP,POS,3B,AB,R,SF
3,11,2,C,2,71,8,2
32,106,17,C,4,484,59,2
0,0,0,C,0,1,0,0
30,87,17,C,0,427,67,1
1,7,0,C,0,21,2,0
8,27,3,C,0,142,16,0
3,5,0,C,0,54,6,0
7,37,4,C,0,156,24,1
8,30,2,C,0,123,23,1
2,18,1,C,0,77,5,0
16,78,9,C,3,348,46,0
0,3,0,C,0,22,1,0
8,38,6,C,1,176,27,3
15,91,3,C,1,291,39,4
1,2,0,C,0,8,2,0
1,2,0,C,0,6,0,0
8,40,3,C,0,100,12,1
19,64,9,C,0,259,44,2
1,3,0,C,0,9,0,0
2,17,1,C,0,46,5,0
19,96,5,C,1,324,33,4
11,50,9,C,0,188,19,2
11,42,8,C,2,196,30,1
0,2,0,C,0,13,0,0
24,123,8,C,4,370,44,6
