bk,ibb,score,3b,hr,ip,Opponent,so,w
0,0,18-0,0,0,5.0,JACKSON STATE,4,11
0,0,5-3,0,0,8.0,New Mexico State,5,7
0,0,0-3,0,2,7.0,KANSAS,1,27
0,0,0-9,0,3,6.0,OKLAHOMA,5,27
0,0,8-5,0,0,7.0,Fairfield,5,22
0,0,14-3,0,1,5.0,Penn State,6,6
0,0,7-4,0,1,7.0,Seton Hall,8,23
0,0,11-3,1,0,5.0,TROY,8,18
0,0,6-0,0,0,7.0,Marist,7,25
0,0,3-5,0,1,7.0,North Texas,3,8
0,0,3-2,0,0,7.0,Boise State,2,26
0,0,3-4,0,1,7.0,KANSAS,4,27
2,0,330-222,4,34,363.2, ,284,30
0,0,14-2,0,0,5.0,UMKC,4,4
0,0,9-1,0,0,6.0,UMKC,9,16
0,0,8-3,0,0,7.0,Sam Houston State,3,10
0,0,7-1,0,0,7.0,Bryant,3,20
0,0,11-3,0,1,5.0,UMKC,3,5
0,0,0-6,0,3,7.0,OKLAHOMA,6,27
1,0,4-6,1,0,7.0,Colorado State,7,3
0,0,15-0,0,0,5.0,TROY,5,19
0,0,0-4,0,1,7.0,KANSAS,3,27
0,0,10-6,0,2,7.0,UNLV,6,3
0,0,6-4,0,0,7.0,Baylor,4,30
0,0,4-5,0,0,7.0,IPFW,6,14
0,0,6-10,0,2,6.0,Louisville,1,1
0,0,1-5,0,1,7.0,DePaul,4,3
0,0,10-0,0,0,6.0,Oklahoma State,3,27
0,0,2-4,0,1,7.0,JACKSON STATE,6,12
